Count,,EVT,EVT_GP,EVT_GP_Name,EVT_Group_AbbreviatedName,Sum of COUNT
229,,665 Red Pine-White Pine Forest and Woodland,665,Red Pine-White Pine Forest and Woodland,Red and White Pine Forest,10302599
1548,,666 Eastern Floodplain Forests,666,Eastern Floodplain Forests,Eastern Floodplain Forest,115287300
147,,667 White Oak-Beech Forest and Woodland,667,White Oak-Beech Forest and Woodland,White Oak-Beech Forest,20397907
123,,668 Eastern Small Stream Riparian Forests,668,Eastern Small Stream Riparian Forests,Eastern Riparian Forest,44522876
12,,669 Florida Slash Pine,669,669 Florida Slash Pine,Slash Pine,
28,,670 Glades and Barrens,670,Glades and Barrens,Glades and Barrens,7183427
3,,671 Great Lakes Alvar,671,Great Lakes Alvar,Great Lakes Alvar,51783
33,,672 Hammocks,672,Hammocks,Hammocks,358388
14,,673 Hardwood Flatwoods,673,Hardwood Flatwoods,Hardwood Flatwoods,1695200
8,,674 Heathland and Grassland,674,Heathland and Grassland,Heathland and Grassland,42328
51,,675 Inland Marshes and Prairies,675,Inland Marshes and Prairies,Inland Marsh and Prairie,21394906
89,,676 Jack Pine Forest,676,Jack Pine Forest,Jack Pine Forest,12604050
114,,677 Longleaf Pine Woodland,677,Longleaf Pine Woodland,Longleaf Pine,49239149
3,,678 Mangrove,678,Mangrove,Mangrove,2285361
80,,679 Maritime Forest,679,Maritime Forest,Maritime Forest,2059810
458,,680 Sweetgum-Water Oak Forest,680,Sweetgum-Water Oak Forest,Sweetgum-Water Oak Forest,43667727
1,,681 Montane Oak Forest,681,Montane Oak Forest,Montane Oak Forest,3322895
415,,682 Yellow Birch-Sugar Maple Forest,682,Yellow Birch-Sugar Maple Forest,"Mixed Hardwood Forest - yellow birch, sugar maple",176321143
70,,683 Peatland Forests,683,Peatland Forests,Peatland Forest,33403527
1109,,684 Pine Flatwoods,684,Pine Flatwoods,Pine Flatwoods,40945729
146,,685 Pine-Hemlock-Hardwood Forest,685,Pine-Hemlock-Hardwood Forest,Pine-Hemlock-Hardwood Forest,88687961
82,,686 Pitch Pine Woodlands,686,Pitch Pine Woodlands,Pitch Pine Woodlands,3532424
26,,687 Pocosin,687,Pocosin,Pocosin,4790770
1,,688 Prairies and Barrens,688,Prairies and Barrens,Prairies and Barrens,3388146
126,,689 Shortleaf Pine Woodland,689,Shortleaf Pine Woodland,Shortleaf Pine-Oak Forest,24186138
138,,690 Shortleaf Pine-Oak Forest and Woodland,690,Shortleaf Pine-Oak Forest and Woodland,Shortleaf Pine-Oak Forest,26387389
49,,691 Southern Scrub Oak,691,Southern Scrub Oak,Southern Scrub Oak,428507
11,,692 Spruce Flats and Barrens,692,Spruce Flats and Barrens,Spruce Flats and Barrens,601
305,,693 Spruce-Fir-Hardwood Forest,693,Spruce-Fir-Hardwood Forest,Spruce-Fir and Hardwood Forest,70047890
236,,694 Atlantic Swamp Forests,694,Atlantic Swamp Forests,Atlantic Swamp Forest,94925853
85,,695 Virginia Pine Forest,695,Virginia Pine Forest,Virginia Pine Forest,5302845
141,,696 Juniper-Oak,696,Juniper-Oak,Juniper-Oak Woodland,53997938
1321,,697 Loblolly Pine Forest and Woodland,697,Loblolly Pine Forest and Woodland,Loblolly Pine Forest,2624388
1,,698 Loblolly Pine-Slash Pine Forest and Woodland,698,Loblolly Pine-Slash Pine Forest and Woodland,Loblolly Pine-Slash Pine Forest,906814
1,,699,699,UNKNOWN,,
35,,700 Sparse Vegetation,700,Sparse Vegetation,Sparse Vegetation,107114864
1,,701 Introduced Riparian Vegetation,701,Introduced Riparian Vegetation,Exotic Riparian Vegetation,3197045
24,,702 Introduced Annual Grassland,702,Introduced Annual Grassland,Exotic Annual Grassland,105143396
17,,703 Introduced Perennial Grassland and Forbland,703,Introduced Perennial Grassland and Forbland,Exotic Perennial Grassland,41002956
8,,704 Introduced Annual and Biennial Forbland,704,Introduced Annual and Biennial Forbland,Exotic Annual Forbland,12675690
,,,705,Introduced Wetland Vegetation,Exotic Wetland Vegetation,217655
1,,706 Introduced Upland Vegetation-Shrub,706,Introduced Upland Vegetation-Shrub,Introduced Upland Shrubland,172284
55,,707 Introduced Upland Vegetation-Treed,707,Introduced Upland Vegetation-Treed,Introduced Upland Forest,2232695
5,,708 Introduced Woody Wetland Vegetation,708,Introduced Woody Wetland Vegetation,Introduced Woody Wetland Vegetation,1187704
,,,709,Introduced Herbaceous Wetland Vegetation,Exotic Herbaceous Wetland Vegetation,387056
,,,710,Transitional Herbacous Vegetation,Herbland,22038028
,,,711,Modified-Managed Prairie Grassland,Managed Prairie,64144514
,,,720,Transitional Shrub Vegetation,Transitional Shrubland,797051
,,,730,Transitional Forest Vegetation,Transitional Forest,6923
,,,731,Managed Tree Plantation,Plantation,162466180
347,,740 Ruderal Forest,740,Ruderal Forest,Ruderal Forest,114410800
9,,750 Alder Shrubland,750,750 Alder Shrubland,Alder Shrubland,
2,,"755 ""Bedrock  Scree  and Talus""",755,"755 ""Bedrock  Scree  and Talus""",Bedrock ,
46,,756 Birch-Aspen Forest,756,756 Birch-Aspen Forest,,
5,,757 Birch-Cottonwood-Poplar Forest,757,757 Birch-Cottonwood-Poplar Forest,Birch Cottonwood Poplar Forest,
137,,758 Black Spruce Forest and Woodland,758,758 Black Spruce Forest and Woodland,Black Spruce Forest,
6,,762 Dwarf Shrubland,762,762 Dwarf Shrubland,Dwarf Shrubland,
1,,763 Floodplain Forest and Shrubland,763,763 Floodplain Forest and Shrubland,Floodplain Forest,
1,,764 Freshwater Aquatic Bed,764,764 Freshwater Aquatic Bed,Freshwater ,
4,,765 Freshwater Marsh,765,765 Freshwater Marsh,Freshwater Marsh,
8,,767 Herbaceous Meadow,767,767 Herbaceous Meadow,Herbaceous Meadow,
9,,773 Shrub and Herbaceous Peatlands,773,773 Shrub and Herbaceous Peatlands,Peatland  ,
1,,774 Shrub Swamp,774,774 Shrub Swamp,Shrub Swamp,
11,,775 Shrub Tundra,775,775 Shrub Tundra,Shrub Tundra,
4,,777 Sparse Tundra,777,777 Sparse Tundra,Sparse Tundra,
8,,781 Tussock Tundra,781,781 Tussock Tundra,Tussock Tundra,
14,,782 Western Hemlock-Yellow-cedar Forest,782,782 Western Hemlock-Yellow-cedar Forest,Western Hemlock Yellow cedar Forest,
2,,783 Wet Meadow,783,783 Wet Meadow,Wet Meadow,
16,,784 White Spruce Forest and Woodland,784,784 White Spruce Forest and Woodland,White Spruce Forest,
1,,785 White Spruce Forest and Woodland,785,785 White Spruce Forest and Woodland,White Spruce Forest,
15,,786 Willow Shrubland,786,786 Willow Shrubland,Willow Shrubland,
1,,787,787,787,UNKNOWN,
1,,788,788,788,UNKNOWN,
1,,790 Hawai'i Rainforest,790,790 Hawai'i Rainforest,HI Rainforest,
8,,791 Hawai'i Dry Forest,791,791 Hawai'i Dry Forest,HI Dry Forest,
7,,792 Hawai'i Mesic Forest,792,792 Hawai'i Mesic Forest,HI Mesic Forest,
6,,793 Hawai'i Dry Shrubland,793,793 Hawai'i Dry Shrubland,HI Dry Shrubland,
1,,794 Hawai'i Mesic Shrubland,794,794 Hawai'i Mesic Shrubland,HI Mesic Shrubland,
12,,795 Hawai'i Dry Grassland,795,795 Hawai'i Dry Grassland,HI Dry Grassland,
