studyPointID,LFEVTGroupCd_FINAL,os_loading,ms_loading,us_loading,tree_loading,snag_loading,shrub_loading,herb_loading,herb_percentlive,moss_loading,lichen_loading,litter_loading,litter_depth,duff_loading,duff_depth,1hr_loading,10hr_loading,100hr_loading,fwd_loading,1000hrS_loading,1000hrR_loading,1000hr_loading,10000hrS_loading,10000hrR_loading,10000hr_loading,GT10000hrS_loading,GT10000hrR_loading,GT10000hr_loading,cwd_sound_loading,cwd_rotten_loading,cwd_loading
111,692,,,,23.2,,,0.01,,,,,,,,,,,,,,,,,,,,,,,
112,665,,,,17.4,,,0.01,,,,,,,,,,,,,,,,,,,,,,,
113,676,,,,12.89,,,0.02,,,,,,,,,,,,,,,,,,,,,,,
114,631,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,
115,631,,,,,,,,,,,1.84,,,,,,,,,,,,,,,,,,,
116,702,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,
117,677,,,,,,,1.23,,,,2.92,,,,,,,,,,,,,,,,,,,
118,687,,,,,,,0,,,,3.62,1.5,,,,,,,,,,,,,,,,,,
119,684,,,,,,,3.01,,,,2.57,1.5,,,,,,,,,,,,,,,,,,
120,687,,,,,,,0,,,,4.45,1,,,,,,,,,,,,,,,,,,
121,694,,,,,,,0,,,,4.41,,,,,,,,,,,,,,,,,,,
122,684,,,,,,,3.95,,,,4.05,3,,,,,,,,,,,,,,,,,,
123,687,,,,,,,0.48,,,,4.59,0.85,,,,,,,,,,,,,,,,,,
124,687,,,,,,,4.36,,,,4.01,3,,2.5,,,,,,,,,,,,,,,,
125,687,,,,,,,8.48,,,,4.7,3.5,,,,,,,,,,,,,,,,,,
126,687,,,,,,,0,,,,9.05,5,,,,,,,,,,,,,,,,,,
127,687,,,,,,,0,,,,5.36,2,,11,,,,,,,,,,,,,,,,
128,687,,,,,,,0,,,,5.36,,,16,,,,,,,,,,,,,,,,
129,648,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,
130,618,,,,,,,2.15,,,,,,,,,,,,,,,,,,,,,,,
131,665,,,,,,,,,,,3.35,0.6,10.15,1.5,,,,,,,,,,,,,,,,
132,676,,,,,,,,,,,1.7,0.2,,0.9,,,,,,,,,,,,,,,,
135,622,,,,,,,0.5,,,,,,,,0.12,0.44,1.41,1.97,10.85,7.78,18.63,,,,,,,,,
136,622,,,,,,,0.53,,,,,,,,0.16,0.43,0.82,1.41,9.91,14.62,24.53,,,,,,,,,
137,622,,,,,,,0.42,,,,,,,,0.18,0.53,1.45,2.16,16.63,6.11,22.74,,,,,,,,,
138,622,,,,,,,0.56,,,,,,,,0.21,0.63,1.38,2.22,4.76,4.73,9.49,,,,,,,,,
139,622,,,,,,,0.61,,,,,,,,0.26,0.76,2.58,3.6,18.85,9.21,28.06,,,,,,,,,
140,622,,,,,,,0.63,,,,,,,,0.21,0.71,2.74,3.66,24.47,5.92,30.39,,,,,,,,,
141,622,,,,,,,0.7,,,,,,,,0.17,0.75,2.3,3.22,25.32,6.22,31.54,,,,,,,,,
142,622,,,,,,,0.55,,,,,,,,0.17,0.71,2.92,3.8,26.87,7.29,34.16,,,,,,,,,
143,622,,,,,,,0.38,,,,,,,,0.24,0.85,2.21,3.3,14.48,,,,,,,,,,,
144,622,,,,,,,0.34,,,,,,,,0.25,0.77,1.81,2.83,16.3,8.29,24.59,,,,,,,,,
145,631,,,,,,,,,,,2,,26.7,,0.3,1,0.7,2,1,3.1,4.1,,,,,,,,,
146,631,,,,,,,,,,,2.2,,21.2,,0.4,1,0.9,2.3,4,6,10,,,,,,,,,
147,631,,,,,,,,,,,2,0.4,7.3,0.9,,,,,,,,,,,,,,,,
148,631,,,,,,,,,,,0.6,0.3,6.4,0.7,,,,,,,,,,,,,,,,
149,602,,,,,,,0.5,,,,0.77,,,,0.11,1.11,2.71,3.93,,,6.72,,,,,,,,,
150,602,,,,,,,0.2,,,,1.18,,,,0.22,0.46,1.12,1.8,,,3.16,,,,,,,,,
151,602,,,,,,,0.37,,,,1.26,,,,0.36,1.08,2.65,4.09,,,17.23,,,,,,,,,
152,602,,,,,,,0.41,,,,1.41,,,,0.13,0.76,1.86,2.75,,,2.76,,,,,,,,,
153,602,,,,,,,1.01,,,,0.88,,,,0.02,0.53,3.02,3.57,,,30.15,,,,,,,,,
154,602,,,,,,,0.23,,,,1.44,,,,0.06,0.21,1.2,1.47,,,35.09,,,,,,,,,
155,602,,,,,,,0.73,,,,1.03,,,,0.06,0.35,1.95,2.36,,,3.6,,,,,,,,,
156,602,,,,,,,0.12,,,,1.3,,,,0.27,0.35,2,2.62,,,3.98,,,,,,,,,
157,602,,,,,,,0.53,,,,0.57,,,,0.09,1.2,7.82,9.11,,,29.76,,,,,,,,,
158,602,,,,,,,0.52,,,,1.12,,,,0.14,0.09,0.53,0.76,,,0,,,,,,,,,
159,602,,,,,,,0.4,,,,0.58,,,,0.08,0.68,0.87,1.63,,,5.86,,,,,,,,,
160,602,,,,,,,0.14,,,,1,,,,0.19,0.91,1.37,2.47,,,1.19,,,,,,,,,
161,602,,,,,,,0.09,,,,1.37,,,,0.21,1.14,1.7,3.05,,,2.92,,,,,,,,,
162,603,,,,,,,0.04,,,,1.02,,,,0.63,1.96,1.61,4.2,,,0.64,,,,,,,,,
163,603,,,,,,,0.05,,,,0.96,,,,0.32,1.35,1.11,2.78,,,1.7,,,,,,,,,
164,603,,,,,,,0.03,,,,1.83,,,,1.04,2.48,3.72,7.24,,,26.22,,,,,,,,,
165,603,,,,,,,0.13,,,,1.16,,,,0.13,0.58,1.34,2.05,,,4.31,,,,,,,,,
166,603,,,,,,,0.01,,,,1.28,,,,0.13,0.75,1.76,2.64,,,4.75,,,,,,,,,
167,603,,,,,,,0.28,,,,0.63,,,,0.2,1.52,3.54,5.26,,,15.52,,,,,,,,,
168,602,,,,,,,0.4,,,,,,,,0.07,0.47,3.2,3.74,,,20.39,,,,,,,,,
169,603,,,,,,,0.02,,,,,,,,0.26,1,1.63,2.89,,,1.9,,,,,,,,,
170,603,,,,,,,0.15,,,,,,,,0.24,1.08,2.39,3.71,,,7.85,,,,,,,,,
171,602,,,,,,,0.22,,,,,,,,0.2,0.95,2.44,3.59,,,1.23,,,,,,,,,
