PLOT_ID,SUBPLOT_ID,x,y,Fuelbed_nu,Fuelbed_Na,Depth_shru,Depth_nonW,Depth_wood,Depth_LLM,Depth_surf,Depth_lowF,Tree_overs,Tree_midst,Tree_under,Tree_bole_,Tree_above,Snag_cla_2,Snag_cla_3,Snag_cla_4,LadderFuel,Shrub_prim,Shrub_seco,Shrub_need,Nonwoody_p,Nonwoody_s,Woody_soun,Woody_so_1,Woody_so_2,Woody_so_3,Woody_so_4,Woody_so_5,Woody_rott,Woody_ro_1,Woody_ro_2,LLM_litter,GroundFuel,GroundFu_1,GroundFu_2,FCCS,EVT,MODIS Enhanced,SRS Group,EVG_GP,EVG_PHYS,EVG_GP_N,SAF/SRM
135,3,434178.581,3668894.178,177,Pine forest 41-60 years,51.816,21.336,4.572,2.032000102,16.34295233,1.270020127,13.39647892,7.985112658,0,141.3775787,162.759155,0,0,0,0.672510693,2.052117153,0,2.241702311,0.201753208,0,0.201753208,0.739761763,2.084783307,0,0.448340462,0,0.807012832,1.793361849,0,3.586723698,0,10.65257006,0.002411693,633,3335,1479,Loblolly  pine,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
137,0,435501.197,3668609.286,178,Hardwood forest 21-40   years,100.584,33.528,1.77800002,0.508000041,6.482907938,6.864414821,18.36022341,1.20615499,1.999949288,99.37189721,119.5728945,13.16326701,0,0,0.672510693,0.375695185,0,0,0.627676647,0,0.179336198,1.053600154,3.13838346,1.636442687,0,0,0,0,0,0.896680925,0,9.684153985,0.010346949,633,3335,1433,Hardwoods,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
155,4,450391.856,3668605.913,204,Hardwood forest 60+ years,36.576,39.624,5.588000203,4.825999898,1.987130189,1.117600102,18.29248813,21.92742188,1.475713977,206.9829202,247.6250952,0,0,0,0.672510693,0.822016658,0,0,0,0,0.672510693,5.962928148,6.27676692,0,0.672510693,0.336255347,0,1.905446965,0.336255347,8.518469232,5.380085547,7.626271712,0.001318121,625,3335,1043,Hardwoods,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
158,0,457242.11,3668610.437,211,Pine - Mixed hardwoods   forest 60+ years,57.912,0,7.111999898,6.350000203,6.698771261,0.35560001,8.401583062,35.04654977,2.215337494,185.152304,229.4061438,0,0,0,0.672510693,1.88175531,0,0,0,0,0.470757508,3.721226061,4.707575078,0,1.56919173,2.241702311,0,0,0,11.20851156,5.380085547,10.65257006,0.00185613,186,3335,1479,Pine-Hardwood mix,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
164,5,433375.204,3669132.66,222,Pine forest 41-60 years,57.912,21.336,3.556000102,0.762000061,14.5440593,2.377318568,12.35062907,19.49148055,0,147.2105733,179.052688,32.80641441,0,0,0.672510693,1.855313019,0,2.241702311,0.403506416,0,0.179336198,0.896680925,1.053600154,0,0.448340462,0,0,1.793361849,0,1.345021387,0,10.65257006,0.00392703,633,3335,1479,Loblolly  pine,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
168,6,436306.815,3669012,228,Hardwood forest 41-60   years,64.008,33.528,1.270000041,1.016000051,46.85798604,0.498330139,9.343211239,13.84168369,0.129189042,100.3873435,123.6894131,0,0,0,0.672510693,7.900284625,0,0,0.134502143,0,0.291421323,1.188102292,3.13838346,0,0.336255347,0,12.48628187,2.01753217,0,1.793361849,1.395235631,10.65257006,0.002800122,617,3335,1477,Hardwoods,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
171,4,439118.7941,3669414.502,231,Pine forest 41-60 years,27.432,42.672,10.668,2.286,6.74570467,2.096037362,4.640065541,3.433792301,0,62.73883419,70.81269046,0,0,0,0.672510693,0.778605936,0,2.241702311,0.089668099,0,0.179336198,2.981464074,5.738758366,29.07487898,0.448340462,0,0,1.793361849,0,4.035064385,32.28051553,10.65257006,0.001649893,633,3335,1055,Longleaf  pine,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
176,8,442555.273,3669423.914,233,Hardwood forest 60+ years,70.104,18.288,2.032000102,1.524000122,5.800038286,0.437294792,38.69869979,9.125364178,2.492364084,127.5602031,176.760043,0,0,0,0.672510693,1.615112554,0,0,0.089668099,0,0.515591532,1.501940549,5.223166834,0,0.672510693,0.336255347,1.479523526,1.905446965,0.336255347,2.690042774,3.586723698,7.626271712,0.004217933,624,3335,964,Hardwoods,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
179,3,445282.929,3669560.884,242,Pine - Mixed hardwoods   forest 60+ years,45.72,24.384,9.651999797,6.350000203,1.507246759,0.478792642,10.47247192,18.50210971,4.285442133,113.294969,145.202008,0,0,0,0.672510693,0.601781219,0,0,0.044834048,0,0.246587277,2.241702311,4.191983547,0,1.56919173,2.241702311,0,0,0,11.20851156,11.51159083,10.65257006,0.00222601,625,3335,965,Pine-Hardwood mix,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
192,7,431336.5055,3670083.277,266,Pine forest 21-40 years,24.384,18.288,4.318000406,3.30200002,2.449444885,0.857752615,16.7403144,8.940813569,9.312189218,182.695869,211.1036174,0,0,0,0.672510693,0.327016798,0,2.241702311,0.112085116,0,0.134502143,1.345021387,1.56919173,2.645208952,0.112085116,0,6.590604796,0.112085116,0,5.828426234,1.793361849,10.28941361,0.004277107,633,3335,1479,Loblolly  pine,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
