east_ae,north_ae,subplot_id,year,network,site,plot,subplot,EVG,EVG_Na,EVG_Phys,SAFSRM,soil_depth,tree_live_ttl_bio,tree_fol_bio,tree_live_1hr_bio,tree_live_10hr_bio,tree_live_100hr_bio,tree_live_1000hr_bio,tree_dead_1hr_bio,tree_dead_10hr_bio,shrub_bio_ttl,shrub_1hr,shrub_10hr,dwd_fuel_10h,dwd_fuel_100h,,dwd_fuel_1000h_s,,dwd_fuel_1000h_r,,tree_ltr_ld,tree_duff_ld,tree_ltr_depth,tree_duff_depth,herb_fuel_live_wd,herb_fuel_dead_wd,ispace_litter_load_wd,herb_fuel_stand_wd,herb_fuel_live_ss,herb_fuel_dead_ss,ispace_litter_load_ss,herb_fuel_stand_ss
-1896542.00344000000,1037070.38930000000,WJ-BC-BC011,7,WJ,BC,burn,11,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.277,993,0.993,1924,1.924,0,0,6.809,1.839,1.6,0.1,0.149,0.064,3.555,NA,0.28,0.12,6.665,NA
-1896542.00344000000,1037070.38930000000,WJ-BC-BC011,8,WJ,BC,burn,11,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.097,110,0.11,842,0.842,0,0,NA,NA,NA,NA,0.328,0.021,0.128,NA,0.615,0.04,0.24,NA
-1896542.00344000000,1037070.38930000000,WJ-BC-BC011,9,WJ,BC,burn,11,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.527,551,0.551,842,0.842,0,0,NA,NA,NA,NA,0.219,0.141,0.187,NA,0.41,0.265,0.35,NA
-1896542.00344000000,1037070.38930000000,WJ-BC-BC011,12,WJ,BC,burn,11,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.097,331,0.331,5970,5.97,0,0,NA,NA,NA,NA,0.341,0.888,0.112,NA,0.64,1.665,0.21,NA
-1896542.00344000000,1037070.38930000000,WJ-BC-BC011,16,WJ,BC,burn,11,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,13.076,0,3.902,1.989,3.141,4.044,0.894,0.51,0,0,0,0.208,1985,1.985,14910,14.91,0,0,NA,NA,NA,NA,0.176,0.259,0.173,NA,0.33,0.485,0.325,NA
-1896482.09696000000,1037082.88825000000,WJ-BC-BC012,6,WJ,BC,burn,12,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,28,17.604,0,6.318,3.154,3.131,5.001,0.662,0.378,0,0,0,0.305,110,0.11,0,0,0,0,3.597,2.206,1.5,0.9,0.107,0.2,0.677,NA,0.2,0.375,1.27,NA
-1896482.09696000000,1037082.88825000000,WJ-BC-BC012,7,WJ,BC,burn,12,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.36,1213,1.213,4217,4.217,0,0,1.545,NA,0.2,0,0.045,0,0.307,NA,0.085,0,0.575,NA
-1896482.09696000000,1037082.88825000000,WJ-BC-BC012,8,WJ,BC,burn,12,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.166,1323,1.323,3240,3.24,0,0,NA,NA,NA,NA,0.288,0.008,0.035,NA,0.54,0.015,0.065,NA
-1896482.09696000000,1037082.88825000000,WJ-BC-BC012,9,WJ,BC,burn,12,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.374,1434,1.434,3759,3.759,0,0,NA,NA,NA,NA,0.328,0.133,0.128,NA,0.615,0.25,0.24,NA
-1896482.09696000000,1037082.88825000000,WJ-BC-BC012,12,WJ,BC,burn,12,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.249,1654,1.654,3661,3.661,0,0,NA,NA,NA,NA,0.499,1.355,0.347,NA,0.935,2.54,0.65,NA
-1896482.09696000000,1037082.88825000000,WJ-BC-BC012,16,WJ,BC,burn,12,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,0.975,0,0.418,0.205,0.148,0.204,0.022,0.012,0,0,0,1.247,4963,4.963,11002,11.002,0,0,NA,NA,NA,NA,0.251,0.285,0.197,NA,0.47,0.535,0.37,NA
-1896332.80188000000,1037074.02439000000,WJ-BC-BC014,6,WJ,BC,burn,14,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,23.312,0,7.444,3.764,4.661,7.443,1.152,0.657,0,0,0,0.194,0,0,0,0,0,0,3.19,13.022,2.1,2.8,0.347,0.461,0.576,NA,0.65,0.865,1.08,NA
-1896332.80188000000,1037074.02439000000,WJ-BC-BC014,7,WJ,BC,burn,14,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.013,-0.004,0.069,441,0.441,6960,6.96,0,0,1.845,NA,0.6,0,0.139,0.133,1.9,NA,0.26,0.25,3.562,NA
-1896332.80188000000,1037074.02439000000,WJ-BC-BC014,8,WJ,BC,burn,14,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.139,0,0,740,0.74,0,0,NA,NA,NA,NA,0.629,0.053,0.035,NA,1.18,0.1,0.065,NA
-1896332.80188000000,1037074.02439000000,WJ-BC-BC014,9,WJ,BC,burn,14,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.017,-0.01,-0.001,0.125,0,0,0,0,0,0,NA,NA,NA,NA,0.808,0.483,0.541,NA,1.515,0.905,1.015,NA
-1896332.80188000000,1037074.02439000000,WJ-BC-BC014,12,WJ,BC,burn,14,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.331,2426,2.426,17653,17.653,0,0,NA,NA,NA,NA,0.227,0.523,0.315,NA,0.425,0.98,0.59,NA
-1896332.80188000000,1037074.02439000000,WJ-BC-BC014,16,WJ,BC,burn,14,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,5.148,0,1.615,0.818,1.085,1.63,0.28,0.16,0,0,0,4.075,9925,9.925,46080,46.08,0,0,NA,NA,NA,NA,0.797,1.632,0.512,NA,1.495,3.06,0.96,NA
-1896232.08323000000,1037013.74480000000,WJ-BC-BC016,6,WJ,BC,burn,16,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,8.119,0,2.436,1.239,1.781,2.663,0.479,0.273,0,0,0,0.333,0,0,645,0.645,0,0,0.977,3.586,1.2,2.2,0.435,0.168,0.208,NA,0.815,0.315,0.39,NA
-1896232.08323000000,1037013.74480000000,WJ-BC-BC016,7,WJ,BC,burn,16,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.001,0,0.152,110,0.11,474,0.474,0,0,0.76,NA,0.7,0,0.211,0.101,0.045,NA,0.395,0.19,0.085,NA
-1896232.08323000000,1037013.74480000000,WJ-BC-BC016,8,WJ,BC,burn,16,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.485,1434,1.434,687,0.687,0,0,NA,NA,NA,NA,0.445,0.163,0.592,NA,0.835,0.305,1.11,NA
-1896232.08323000000,1037013.74480000000,WJ-BC-BC016,9,WJ,BC,burn,16,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.291,331,0.331,0,0,0,0,NA,NA,NA,NA,0.336,0.245,0.152,NA,0.63,0.46,0.285,NA
-1896232.08323000000,1037013.74480000000,WJ-BC-BC016,12,WJ,BC,burn,16,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.194,551,0.551,0,0,0,0,NA,NA,NA,NA,0.157,0.147,0.293,NA,0.295,0.275,0.55,NA
-1896232.08323000000,1037013.74480000000,WJ-BC-BC016,16,WJ,BC,burn,16,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,3.928,0,1.178,0.599,0.905,1.246,0.251,0.143,0,0,0,0.956,331,0.331,0,0,0,0,NA,NA,NA,NA,0.195,0.149,0.123,NA,0.365,0.28,0.23,NA
-1896112.42753000000,1037013.69693000000,WJ-BC-BC017,6,WJ,BC,burn,17,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,11.166,0,3.658,1.837,2.401,3.27,0.624,0.356,0,0,0,0.527,662,0.662,1069,1.069,0,0,1.795,9.977,1.9,7.3,0.123,0.12,0.277,NA,0.23,0.225,0.52,NA
-1896112.42753000000,1037013.69693000000,WJ-BC-BC017,7,WJ,BC,burn,17,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078,0.067,0.042,1.123,993,0.993,595,0.595,0,0,0.332,NA,0,0,0.088,0,1.473,NA,0.165,0,2.762,NA
-1896112.42753000000,1037013.69693000000,WJ-BC-BC017,8,WJ,BC,burn,17,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.109,0.094,0.063,0.457,1764,1.764,428,0.428,0,0,NA,NA,NA,NA,0.603,0.011,0.013,NA,1.13,0.02,0.025,NA
-1896112.42753000000,1037013.69693000000,WJ-BC-BC017,9,WJ,BC,burn,17,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.29,-0.194,-0.164,0.554,551,0.551,211,0.211,0,0,NA,NA,NA,NA,0.603,0.277,0.109,NA,1.13,0.52,0.205,NA
