Fuelbed_nu,PLOT_ID,SUBPLOT_ID,x,y,lon,lat,Fuelbed_Type,SAFSRM,EVT_GP,EVT_GP_N,us_loading_Mgha,ms_loading_Mgha,os_loading_Mgha,tree_crown_loading_Mgha,tree_loading_Mgha,snag_loading_Mgha,shrub_loading_Mgha,herb_loading_Mgha,1hr_loading_Mgha,10hr_loading_Mgha,100hr_loading_Mgha,1KhrS_loading_Mgha,1KhrR_loading_Mgha,1Khr_loading_Mgha,10KhrS_loading_Mgha,10KhrR_loading_Mgha,10Khr_loading_Mgha,GT10KhrS_loading_Mgha,GT10KhrR_loading_Mgha,litter_depth_,litter_loading_Mgha
413,297,2,437098.595,3672834.648,-81.67481163,33.1925362,Hardwood forest 41-60   years,SAF 71: Longleaf Pine-Scrub Oak,677,Longleaf Pine Woodland,6.118292017,5.862435771,11.32842245,23.30915024,160.2101377,0,0.42308253,0.022417025,0.246587277,3.13838346,4.707575077,0,0,0,0.336255347,2.01753217,2.353787516,0,0,2.540000081,4.483404622
414,297,2,437111.2526,3673034.537,-81.67468967,33.19433984,Pine forest 21-40 years,SAF 71: Longleaf Pine-Scrub Oak,677,Longleaf Pine Woodland,1.845855344,6.957779268,9.538005305,18.34163992,133.4198672,6.012857583,0.558243034,0.044834048,0.381089393,4.774825922,9.392732683,0,27.28151937,27.28151937,0.112085116,0.112085116,0.224170231,0,0,2.540000081,4.483404622
415,298,0,437919.634,3672635.267,-81.66599036,33.19078533,Pine forest greater than   60 years,LF 61: Managed Tree Plantation,731,Managed Tree Plantation,7.323692562,15.17395068,9.533557543,32.03120079,164.4761868,0,1.717071115,0.156919162,0.403506416,6.411268834,7.823541514,2.533123611,0,2.533123611,0.448340462,1.345021387,1.793361849,0,0.672510693,3.30200002,5.828426233
416,298,2,437931.096,3672831.233,-81.66588078,33.1925535,Pine forest greater than   60 years,LF 61: Managed Tree Plantation,731,Managed Tree Plantation,7.847664698,9.801098213,12.6463977,30.29516061,245.5713596,29.94002363,1.976893604,0,0.179336198,2.241702311,1.053600153,0,0.963931994,0.963931994,0.448340462,1.345021387,1.793361849,0,0.672510693,4.064000203,7.173447395
417,298,8,437511.2376,3672611.452,-81.67036969,33.19054702,Pine forest 21-40 years,LF 46: Atlantic Coastal Plain Swamp,694,Atlantic Swamp Forests,7.16113933,3.323634824,8.74626138,19.23103553,107.5390329,0,0.433982449,0.022417025,0.336255347,4.483404622,10.96192497,0,0,0,0.112085116,0.112085116,0.224170231,0,0,2.286,4.035064384
418,302,0,441144.917,3672623.466,-81.63139104,33.1908592,Pine forest 41-60 years,LF 61: Managed Tree Plantation,731,Managed Tree Plantation,9.359622742,8.517356897,5.142180405,23.01916004,93.40776749,0,1.983065145,0.425923462,0.134502143,1.345021387,1.053600153,0,0,0,0.448340462,1.793361849,2.241702311,0,0,0.762000061,1.345021387
419,302,3,441281.221,3672779.87,-81.62993896,33.1922773,Pine forest 41-60 years,LF 61: Managed Tree Plantation,731,Managed Tree Plantation,0.393718964,2.775986726,9.59644895,12.76615464,80.94639989,0,2.262594752,0.067251072,0.134502143,1.188102292,1.053600153,15.13149172,0,15.13149172,0.448340462,1.793361849,2.241702311,0,0,1.270000041,2.241702311
420,302,5,441418.787,3672350.017,-81.62843553,33.18840768,Pine forest 41-60 years,SAF 71: Longleaf Pine-Scrub Oak,677,Longleaf Pine Woodland,1.512051074,2.259709681,2.465718089,6.237478844,34.27952217,0,0.790304752,0.067251072,0.224170231,2.824545136,3.13838346,0,5.469753639,5.469753639,0.448340462,1.793361849,2.241702311,0,0,0.508000041,0.896680924
421,303,0,441935.014,3672634.766,-81.62291612,33.19100383,Pine forest 21-40 years,LF 66: Recently Burned - Herbaceous,710,Transitional Herbacous Vegetation,5.523448015,11.22072659,8.743619982,25.48779459,210.7713074,41.97545433,1.043110175,0.067251072,0.381089393,5.806009434,10.44633344,0,5.155915764,5.155915764,0.112085116,0.112085116,0.224170231,0,0,1.016000051,1.793361849
422,303,1,441806.435,3672773.943,-81.62430434,33.19225223,Pine forest 21-40 years,LF 61: Managed Tree Plantation,731,Managed Tree Plantation,3.91652227,5.623994639,8.97440727,18.51492418,132.1005581,0,0.341637607,0.246587277,0.201753208,2.241702311,2.084783306,0,0,0,0.112085116,0.112085116,0.224170231,0,0,1.270000041,2.241702311
423,303,8,441530.947,3672631.025,-81.62725045,33.19094832,Pine forest 5-20 years,LF 61: Managed Tree Plantation,731,Managed Tree Plantation,1.123790565,0,0,1.123790565,0.432352193,0,9.30758319,0.022417025,0.313838324,4.326485684,13.5847169,0,10.670503,10.670503,0.089668099,1.008766085,1.098434184,0,0.784595854,0.25400002,0.448340462
424,304,0,442762.6123,3672638.425,-81.6140384,33.19108094,Pine forest 21-40 years,LF 66: Recently Burned - Herbaceous,710,Transitional Herbacous Vegetation,2.357931886,8.758635801,5.231891763,16.34845945,115.3440172,0,2.801532044,0.044834048,0.246587277,3.13838346,5.738758365,0,0,0,0.112085116,0.112085116,0.224170231,0,0,1.016000051,1.793361849
425,304,2,442749.9603,3672827.762,-81.61418604,33.19278801,Pine forest 41-60 years,LF 61: Managed Tree Plantation,731,Managed Tree Plantation,2.375496072,5.75672516,4.863572227,12.99579346,79.5246002,0,0.68903316,0.089668099,0.134502143,1.793361849,6.254349896,0,1.412272568,1.412272568,0.448340462,1.793361849,2.241702311,0,0,1.524000122,2.690042773
426,304,5,443023.4607,3672347.496,-81.61122195,33.18847065,Pine forest 41-60 years,SAF 71: Longleaf Pine-Scrub Oak,677,Longleaf Pine Woodland,1.11788081,5.887038902,4.020012025,11.02493174,83.59032188,0,1.308004605,0.134502143,0.201753208,1.501940548,1.053600153,0,0,0,0.448340462,1.793361849,2.241702311,0,0,2.286,4.035064384
427,305,0,443543.9785,3672640.327,-81.60565649,33.19113916,Pine forest 41-60 years,LF 61: Managed Tree Plantation,731,Managed Tree Plantation,0.490924893,4.540687289,5.861951563,10.89356375,170.1278546,0,1.108523093,0.179336198,0.134502143,0.896680924,1.053600153,0,5.469753639,5.469753639,0.448340462,1.793361849,2.241702311,0,0,1.77800002,3.13838346
428,305,7,443412.1146,3672493.36,-81.6070619,33.18980668,Pine forest 21-40 years,SAF 71: Longleaf Pine-Scrub Oak,677,Longleaf Pine Woodland,4.29848234,3.722357672,5.354182676,13.37502269,67.06620959,0,5.722600847,0.224170231,0.269004289,4.326485684,6.254349896,27.32635341,0,27.32635341,0.112085116,0.112085116,0.224170231,0,0,0.762000061,1.345021387
429,305,5,443844.035,3672346.3,-81.6024195,33.18850278,Clearcut <5,SAF 71: Longleaf Pine-Scrub Oak,677,Longleaf Pine Woodland,0,0,0,0,0,0,2.91219054,0.493174531,0.448340462,5.962928147,9.392732683,0,0,0,0,0,0,0,0,0,0
430,306,0,444356.7077,3672648.002,-81.59693847,33.1912505,Pine - Mixed hardwoods   forest 41-60 years,LF 46: Atlantic Coastal Plain Swamp,694,Atlantic Swamp Forests,0.797544554,25.6350899,34.63697281,61.06960726,214.0777735,14.70166548,5.859000362,0,0.515591532,6.85960952,12.53111592,16.14025731,9.863490168,26.00374748,0.672510693,1.120851156,1.793361849,0,0,0.762000061,1.345021387
431,306,6,444361.047,3672432.153,-81.59687871,33.18930385,Clearcut <5,LF 20: Developed,16,Developed-Upland Herbaceous,0,0,0.569495281,0.569495281,5.37244179,0,0.604918325,0.044834048,0.515591532,7.756290669,15.6694996,23.13437009,1.345021387,24.47939148,0,0,0,0,0,0.25400002,0.672510693
432,306,5,444637.4273,3672345.681,-81.59390866,33.18853809,Pine forest 21-40 years,SAF 72: Southern Scrub Oak,658,Coastal Plain Oak Forest,0.363252616,6.414867887,7.765666813,14.54378732,107.5102114,0,1.695290377,0.313838324,0.269004289,3.586723698,4.707575077,0.986349084,0,0.986349084,0.112085116,0.112085116,0.224170231,0,0,0.762000061,1.345021387
