subplot_id,network,site,plot,subplot,year,east_ae,north_ae,SAFSRM,EVG_GP,EVG_GP_N,os_loading_Mgha,snag_loading_Mgha,shrub_loading_Mgha,herb_loading_Mgha,10hr_loading_Mgha,100hr_loading_Mgha,1KhrS_loading_Mgha,1KhrR_loading_Mgha,litter_depth_,litter_loading_Mgha,duff_depth_,duff_loading_Mgha
WJ-BC-BC012,WJ,BC,burn,12,6,-1896482.09696000000,1037082.88825000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,18.64400000000,1.04000000000,0.00000000000,0.88200000000,0.30500000000,0.11000000000,0.00000000000,0.00000000000,1.50000000000,3.59700000000,0.90000000000,2.20600000000
WJ-BC-BC012,WJ,BC,burn,12,7,-1896482.09696000000,1037082.88825000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,0.13000000000,0.36000000000,1.21300000000,4.21700000000,0.00000000000,0.20000000000,1.54500000000,0.00000000000,NA
WJ-BC-BC012,WJ,BC,burn,12,8,-1896482.09696000000,1037082.88825000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,0.85100000000,0.16600000000,1.32300000000,3.24000000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC012,WJ,BC,burn,12,9,-1896482.09696000000,1037082.88825000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,1.32600000000,0.37400000000,1.43400000000,3.75900000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC012,WJ,BC,burn,12,12,-1896482.09696000000,1037082.88825000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,5.32900000000,0.24900000000,1.65400000000,3.66100000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC012,WJ,BC,burn,12,16,-1896482.09696000000,1037082.88825000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,1.00900000000,0.03400000000,0.00000000000,1.54100000000,1.24700000000,4.96300000000,11.00200000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC014,WJ,BC,burn,14,6,-1896332.80188000000,1037074.02439000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,25.12100000000,1.80900000000,0.00000000000,2.32300000000,0.19400000000,0.00000000000,0.00000000000,0.00000000000,2.10000000000,3.19000000000,2.80000000000,13.02200000000
WJ-BC-BC014,WJ,BC,burn,14,7,-1896332.80188000000,1037074.02439000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,0.78200000000,0.06900000000,0.44100000000,6.96000000000,0.00000000000,0.60000000000,1.84500000000,0.00000000000,NA
WJ-BC-BC014,WJ,BC,burn,14,8,-1896332.80188000000,1037074.02439000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,1.96200000000,0.13900000000,0.00000000000,0.74000000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC014,WJ,BC,burn,14,9,-1896332.80188000000,1037074.02439000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,-0.01700000000,0.00000000000,-0.01700000000,3.71100000000,0.12500000000,0.00000000000,0.00000000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC014,WJ,BC,burn,14,12,-1896332.80188000000,1037074.02439000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,2.15500000000,1.33100000000,2.42600000000,17.65300000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC014,WJ,BC,burn,14,16,-1896332.80188000000,1037074.02439000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,5.58800000000,0.44000000000,0.00000000000,6.98400000000,4.07500000000,9.92500000000,46.08000000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC016,WJ,BC,burn,16,6,-1896232.08323000000,1037013.74480000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,8.87100000000,0.75200000000,0.00000000000,1.73300000000,0.33300000000,0.00000000000,0.64500000000,0.00000000000,1.20000000000,0.97700000000,2.20000000000,3.58600000000
WJ-BC-BC016,WJ,BC,burn,16,7,-1896232.08323000000,1037013.74480000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,0.89700000000,0.15200000000,0.11000000000,0.47400000000,0.00000000000,0.70000000000,0.76000000000,0.00000000000,NA
WJ-BC-BC016,WJ,BC,burn,16,8,-1896232.08323000000,1037013.74480000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,1.74800000000,0.48500000000,1.43400000000,0.68700000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC016,WJ,BC,burn,16,9,-1896232.08323000000,1037013.74480000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,1.67100000000,0.29100000000,0.33100000000,0.00000000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC016,WJ,BC,burn,16,12,-1896232.08323000000,1037013.74480000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,0.87400000000,0.19400000000,0.55100000000,0.00000000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC016,WJ,BC,burn,16,16,-1896232.08323000000,1037013.74480000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,4.32200000000,0.39400000000,0.00000000000,0.98900000000,0.95600000000,0.33100000000,0.00000000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC017,WJ,BC,burn,17,6,-1896112.42753000000,1037013.69693000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,12.14600000000,0.98000000000,0.00000000000,0.69800000000,0.52700000000,0.66200000000,1.06900000000,0.00000000000,1.90000000000,1.79500000000,7.30000000000,9.97700000000
WJ-BC-BC017,WJ,BC,burn,17,7,-1896112.42753000000,1037013.69693000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.07800000000,0.00000000000,0.07800000000,0.25300000000,1.12300000000,0.99300000000,0.59500000000,0.00000000000,0.00000000000,0.33200000000,0.00000000000,NA
WJ-BC-BC017,WJ,BC,burn,17,8,-1896112.42753000000,1037013.69693000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.10900000000,0.00000000000,0.10900000000,1.76400000000,0.45700000000,1.76400000000,0.42800000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC017,WJ,BC,burn,17,9,-1896112.42753000000,1037013.69693000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,-0.29000000000,0.00000000000,-0.29000000000,2.53000000000,0.55400000000,0.55100000000,0.21100000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC017,WJ,BC,burn,17,11,-1896112.42753000000,1037013.69693000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,NA,5.16700000000,NA,NA,NA,NA,NA,NA,NA,NA
WJ-BC-BC017,WJ,BC,burn,17,12,-1896112.42753000000,1037013.69693000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,2.33800000000,1.16400000000,0.77200000000,1.49000000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC017,WJ,BC,burn,17,13,-1896112.42753000000,1037013.69693000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,NA,2.94400000000,NA,NA,NA,NA,NA,NA,NA,NA
WJ-BC-BC017,WJ,BC,burn,17,14,-1896112.42753000000,1037013.69693000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,NA,4.02500000000,NA,NA,NA,NA,NA,NA,NA,NA
WJ-BC-BC017,WJ,BC,burn,17,16,-1896112.42753000000,1037013.69693000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.68700000000,0.00600000000,0.00000000000,1.47200000000,1.95400000000,7.94000000000,4.61800000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC017,WJ,BC,burn,17,17,-1896112.42753000000,1037013.69693000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,NA,0.00000000000,NA,NA,NA,NA,NA,NA,NA,NA
WJ-BC-BC019,WJ,BC,burn,19,6,-1896510.56583000000,1037144.67614000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,22.78600000000,1.17000000000,0.00000000000,0.51400000000,0.47100000000,0.44100000000,0.00000000000,0.00000000000,2.00000000000,2.11900000000,0.30000000000,0.53200000000
WJ-BC-BC019,WJ,BC,burn,19,7,-1896510.56583000000,1037144.67614000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,0.05300000000,0.95600000000,1.87500000000,13.18300000000,4.10700000000,1.20000000000,4.17600000000,0.10000000000,0.06800000000
WJ-BC-BC019,WJ,BC,burn,19,8,-1896510.56583000000,1037144.67614000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,1.77900000000,0.90100000000,1.65400000000,9.29800000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC019,WJ,BC,burn,19,9,-1896510.56583000000,1037144.67614000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,-0.02800000000,0.00000000000,-0.02800000000,1.06600000000,0.48500000000,2.31600000000,10.35100000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC019,WJ,BC,burn,19,12,-1896510.56583000000,1037144.67614000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,3.48900000000,0.54100000000,1.32300000000,13.15000000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC019,WJ,BC,burn,19,16,-1896510.56583000000,1037144.67614000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.04100000000,0.00000000000,0.00000000000,3.98600000000,1.16400000000,5.29300000000,38.18700000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC020,WJ,BC,burn,20,6,-1896455.55390000000,1037172.22217000000,SRM 107: Western Juniper-Big Sagebrush-Bluebunch Wheatgrass,620,Juniper Woodland and Savanna,22.60200000000,1.48700000000,0.00000000000,0.36800000000,0.15200000000,0.33100000000,1.46700000000,0.00000000000,1.40000000000,2.27000000000,0.50000000000,1.33100000000
