Stand,Litter_tpa,1hr ,10hr,10FM,100hr,3S,6S,9S,20S,3R,6R,9R,20R,1000FM,Duff_tpa,DuffFM,DuffDepth,Herb,Shrub,Foliage,Branch,%Burn,Region,Group,Season,Category
AP320,1.04,0.11,0.18,60.3,0.49,0.86,0,,,,0,,,84,0,75,0,0.21,2.79,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
AP328,1.19,0.08,0.33,56.39,0.24,0.98,0,,,,0,,,66,0,75,0,0.41,1.58,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
AP342N,1.53,0.007,0.103,74.1,0,0,0,,,,0,,,97,0,75,0,0.091,1.24,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
AP342S,2.019,0.005,0.328,75.6,0,0,0,,,,0,,,97,0,75,0,0.175,1.947,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
BW204A,2.333,0.003,0.194,69.2,0,0,0,,,,0,,,97,0,75,0,0.4,0.723,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
BW215A,0.922,0.009,0.141,46,0,0,0,,,,0,,,97,0,75,0,0.468,0.49,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
E100BE,1.64,0.1,0.43,39.95,0.64,4.46,0,,,,0,,,123,0,75,0,0.08,2.07,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
E501B,1.19,0.06,0.23,48,0.34,2.46,0,,,,0,,,97,0,75,0,0.12,1.4,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
E502B-1A,3.939,0.026,1.121,43.2,0,0,0,,,,0,,,97,0,75,0,0.112,1.098,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
E502B-1B,2.996,0.025,0.757,12,0,0,0,,,,0,,,97,0,75,0,0.15,0.965,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
E502B-1C,5.894,0.035,0.844,12,0,0,0,,,,0,,,97,0,75,0,0.114,1.274,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
E502B-2A,5.355,0,0.797,25,0,0,0,,,,0,,,97,0,75,0,0.606,0.898,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
E502B-2B,4.008,0,0.836,62.5,0,0,0,,,,0,,,97,0,75,0,0.555,0.972,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
E502B-2C,4.285,0,0.407,55,0,0,0,,,,0,,,97,0,75,0,0.805,1.155,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
E505,1.4,0.06,0.32,66.46,0.48,2.13,0,,,,0,,,114,0,75,0,0.06,1.04,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
E807B,1.57,0.13,0.48,48,0.93,1.11,0,,,,0,,,97,0,75,0,0.15,2,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
E807B-3A,5.488,0.033,1.044,55,0.305,61.87,0,,,,0,,,97,0,75,0,0.068,3.45,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
E807B-3B,4.875,0,0.669,55,0.136,60.68,0,,,,0,,,97,0,75,0,0.252,1.328,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
E807B-3C,4.512,0,1.13,53.7,0.243,59.585,0,,,,0,,,97,0,75,0,0.036,2.233,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
E807D,1.68,0.09,0.25,81.19,0.46,0.1,0,,,,0,,,140,0,75,0,0.02,1.65,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
PH1N,1.073,0.087,0.051,53.7,0,0,0,,,,0,,,97,0,75,0,0.179,3.074,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
PH1V2,1.698,0.136,0.207,9.89,0.132,0,0,,,,0,,,97,0,75,0,0,4.42,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
PH1VA,1.7,0.14,0.21,13.65,0.13,0,0,,,,0,,,97,0,75,0,0.124,4.42,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
PH1VB,3.81,0.3,0.46,53.7,0.3,0.09,0,,,,0,,,97,0,75,0,0.28,6.38,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
PH2K,0.81,0.16,0.13,9.89,0.05,0.19,0,,,,0,,,97,0,75,0,0,4.62,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
SM_121,1.66,0.1,0.47,32.04,0.33,0.72,0,,,,0,,,97,0,75,0,0,3.76,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
SM_330,2.91,0.03,0.33,57.48,0.25,0.27,0,,,,0,,,97,0,75,0,0.24,1.27,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
SM_P17A,1.491,0.027,0.392,62.2,0,0,0,,,,0,,,97,0,75,0,0.292,1.34,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
SM_P18A,0.98,0.038,0.346,62.2,0,0,0,,,,0,,,97,0,75,0,0.465,1.288,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
SM_S1A-a,2.05,0.09,0.379,62.2,0,0,0,,,,0,,,97,0,75,0,0.334,2.464,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
