Unit,Litter_tpa,1hr ,10hr,10FM,100hr,Log,1000FM,%Rotten,Distribution,Duff_tpa,DuffFM,DuffDepth,Method,Herb,Shrub,Foliage,Branch,%Burn,Region,Group,Season,Category
"E502B-2C",4.285,0,0.407,55,0,0,97,0,"Even",0,75,0,"Entire",0.805,1.155,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
"E505",1.4,0.06,0.32,66.46,0.48,2.13,114,67,"Even",0,75,0,"Entire",0.06,1.04,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
"E807B",1.57,0.13,0.48,48,0.93,1.11,97,42,"Even",0,75,0,"Entire",0.15,2,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
"E807B-3A",5.488,0.033,1.044,55,0.305,61.87,97,72,"Even",0,75,0,"Entire",0.068,3.45,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
"E807B-3B",4.875,0,0.669,55,0.136,60.68,97,70,"Even",0,75,0,"Entire",0.252,1.328,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
"E807B-3C",4.512,0,1.13,53.7,0.243,59.585,97,83,"Even",0,75,0,"Entire",0.036,2.233,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
"E807D",1.68,0.09,0.25,81.19,0.46,0.1,140,100,"Even",0,75,0,"Entire",0.02,1.65,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
"PH1N",1.073,0.087,0.051,53.7,0,0,97,0,"Even",0,75,0,"Entire",0.179,3.074,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
"PH1V2",1.698,0.136,0.207,9.89,0.132,0,97,0,"Even",0,75,0,"Entire",0,4.42,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
"PH1VA",1.7,0.14,0.21,13.65,0.13,0,97,0,"Even",0,75,0,"Entire",0.124,4.42,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
"PH1VB",3.81,0.3,0.46,53.7,0.3,0.09,97,0,"Even",0,75,0,"Entire",0.28,6.38,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
"PH2K",0.81,0.16,0.13,9.89,0.05,0.19,97,26,"Even",0,75,0,"Entire",0,4.62,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
"SM_121",1.66,0.1,0.47,32.04,0.33,0.72,97,54,"Even",0,75,0,"Entire",0,3.76,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
"SM_330",2.91,0.03,0.33,57.48,0.25,0.27,97,100,"Even",0,75,0,"Entire",0.24,1.27,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
"SM_P17A",1.491,0.027,0.392,62.2,0,0,97,0,"Even",0,75,0,"Entire",0.292,1.34,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
"SM_P18A",0.98,0.038,0.346,62.2,0,0,97,0,"Even",0,75,0,"Entire",0.465,1.288,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
"SM_S1A-a",2.05,0.09,0.379,62.2,0,0,97,0,"Even",0,75,0,"Entire",0.334,2.464,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
