EVT_Fuel,EVT_Fuel_N,FCCSID,Fuelbed Name,,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_GP,EVT_GP_N,EVT_PHYS
2337,Tr Southeast Florida Coastal Strand and Maritime Hammock,457,Florida strangler fig-gumbo limbo-cabbage palm forest,,2337,Tr Southeast Florida Coastal Strand and Maritime Hammock,Tree,672,Hammocks,Hardwood
2338,Tr Central and South Texas Coastal Fringe Forest and Woodland,173,Live oak/sea oats savanna,,2338,Tr Central and South Texas Coastal Fringe Forest and Woodland,Tree,656,Texas Live Oak,Hardwood
2339,Tr West Gulf Coastal Plain Chenier and Upper Texas Coastal Fringe Forest and Woodland,173,Live oak/sea oats savanna,,2339,Tr West Gulf Coastal Plain Chenier and Upper Texas Coastal Fringe Forest and Woodland,Tree,656,Texas Live Oak,Hardwood
2340,Tr Appalachian Shale Barrens,409,Virginia pine-chestnut oak/little bluestem forest,,2340,Tr Appalachian Shale Barrens,Tree,664,Chestnut Oak-Virginia Pine Forest and Woodland,Conifer-Hardwood
2342,Tr Piedmont Hardpan Woodland and Forest,264,Post-blackjack oak forest,,2342,Tr Piedmont Hardpan Woodland and Forest,Tree,662,Post Oak Woodland and Savanna,Hardwood
2343,Tr Southern Atlantic Coastal Plain Mesic Hardwood Forest,283,Willow-laurel-water oak forest,,2343,Tr Southern Atlantic Coastal Plain Mesic Hardwood Forest,Tree,680,Sweetgum-Water Oak Forest,Hardwood
2344,Tr Boreal Jack Pine-Black Spruce Forest,140,Jack pine/black spruce forest,,2344,Tr Boreal Jack Pine-Black Spruce Forest,Tree,676,Jack Pine Forest,Conifer
2346,Tr Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland,185,Longleaf pine/turkey oak forest 1-2 yr postfire,,2346,Tr Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland,Tree,677,Longleaf Pine Woodland,Conifer
2347,Tr Atlantic Coastal Plain Upland Longleaf Pine Woodland,185,Longleaf pine/turkey oak forest 1-2 yr postfire,,2347,Tr Atlantic Coastal Plain Upland Longleaf Pine Woodland,Tree,677,Longleaf Pine Woodland,Conifer
2348,Tr West Gulf Coastal Plain Upland Longleaf Pine Forest and Woodland,180,Red maple-oak-hickory-sweetgum forest,,2348,Tr West Gulf Coastal Plain Upland Longleaf Pine Forest and Woodland,Tree,677,Longleaf Pine Woodland,Conifer
2349,Tr East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland,185,Longleaf pine/turkey oak forest 1-2 yr postfire,,2349,Tr East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland,Tree,677,Longleaf Pine Woodland,Conifer
2350,Tr Central and Southern Appalachian Spruce-Fir Forest,270,Red spruce-Fraser fir/rhododendron forest,,2350,Tr Central and Southern Appalachian Spruce-Fir Forest,Tree,693,Spruce-Fir-Hardwood Forest,Conifer-Hardwood
2351,Tr Southeastern Interior Longleaf Pine Woodland,185,Longleaf pine/turkey oak forest 1-2 yr postfire,,2351,Tr Southeastern Interior Longleaf Pine Woodland,Tree,677,Longleaf Pine Woodland,Conifer
2352,Tr Southern Appalachian Montane Pine Forest and Woodland,410,Table Mountain pine-chestnut oak forest,,2352,Tr Southern Appalachian Montane Pine Forest and Woodland,Tree,686,Pitch Pine Woodlands,Conifer
2353,Tr Southern Appalachian Low-Elevation Pine Forest,114,Virginia pine-pitch pine-shortleaf pine forest,,2353,Tr Southern Appalachian Low-Elevation Pine Forest,Tree,695,Virginia Pine Forest,Conifer
2354,Tr Northeastern Interior Pine Barrens,107,Pitch pine/scrub oak forest,,2354,Tr Northeastern Interior Pine Barrens,Tree,686,Pitch Pine Woodlands,Conifer
2355,Tr Northern Atlantic Coastal Plain Pitch Pine Barrens,107,Pitch pine/scrub oak forest,,2355,Tr Northern Atlantic Coastal Plain Pitch Pine Barrens,Tree,686,Pitch Pine Woodlands,Conifer
2356,Tr Florida Longleaf Pine Sandhill,180,Red maple-oak-hickory-sweetgum forest,,2356,Tr Florida Longleaf Pine Sandhill,Tree,677,Longleaf Pine Woodland,Conifer
2357,Tr Southern Coastal Plain Mesic Slope Forest,276,Oak-pine-magnolia forest,,2357,Tr Southern Coastal Plain Mesic Slope Forest,Tree,680,Sweetgum-Water Oak Forest,Hardwood
2358,Tr East-Central Texas Plains Pine Forest and Woodland,281,Shortleaf pine-post oak-black oak forest  ,,2358,Tr East-Central Texas Plains Pine Forest and Woodland,Tree,689,Shortleaf Pine Woodland,Conifer
2361,Tr Central Atlantic Coastal Plain Maritime Forest,174,Live oak-sabal palm forest,,2361,Tr Central Atlantic Coastal Plain Maritime Forest,Tree,679,Maritime Forest,Hardwood
2362,Tr Laurentian-Acadian Northern Pine Forest,138,Red pine-eastern white pine forest,,2362,Tr Laurentian-Acadian Northern Pine Forest,Tree,665,Red Pine-White Pine Forest and Woodland,Conifer
2363,Tr Central Interior Highlands Dry Acidic Glade and Barrens,135,Eastern redcedar-oak/bluestem savanna,,2363,Tr Central Interior Highlands Dry Acidic Glade and Barrens,Tree,670,Glades and Barrens,Conifer-Hardwood
2364,Tr Ozark-Ouachita Dry Oak Woodland,264,Post-blackjack oak forest,,2364,Tr Ozark-Ouachita Dry Oak Woodland,Tree,662,Post Oak Woodland and Savanna,Hardwood
2365,Tr Boreal White Spruce-Fir Forest,143,Quaking aspen-paper birch-white spruce-balsam fir forest,,2365,Tr Boreal White Spruce-Fir Forest,Tree,693,Spruce-Fir-Hardwood Forest,Conifer
2366,Tr Laurentian-Acadian Pine-Hemlock Forest,287,Eastern white pine-eastern hemlock forest,,2366,Tr Laurentian-Acadian Pine-Hemlock Forest,Tree,685,Pine-Hemlock-Hardwood Forest,Conifer
2367,Tr Ozark-Ouachita Shortleaf Pine Forest and Woodland,281,Shortleaf pine-post oak-black oak forest  ,,2367,Tr Ozark-Ouachita Shortleaf Pine Forest and Woodland,Tree,690,Shortleaf Pine-Oak Forest and Woodland,Conifer-Hardwood
2368,Tr Southern Piedmont Dry Pine Forest,114,Virginia pine-pitch pine-shortleaf pine forest,,2368,Tr Southern Piedmont Dry Pine Forest,Tree,664,Chestnut Oak-Virginia Pine Forest and Woodland,Conifer-Hardwood
2369,Tr Central Appalachian Dry Pine Forest,114,Virginia pine-pitch pine-shortleaf pine forest,,2369,Tr Central Appalachian Dry Pine Forest,Tree,664,Chestnut Oak-Virginia Pine Forest and Woodland,Conifer-Hardwood
2370,Tr Appalachian Hemlock Forest,268,American beech-yellow birch-sugar maple-eastern hemlock forest,,2370,Tr Appalachian Hemlock Forest,Tree,685,Pine-Hemlock-Hardwood Forest,Conifer
2371,Tr West Gulf Coastal Plain Pine Forest,157,Loblolly-shortleaf pine-mixed hardwood forest,,2371,Tr West Gulf Coastal Plain Pine Forest,Tree,689,Shortleaf Pine Woodland,Conifer
2372,Tr East Gulf Coastal Plain Interior Shortleaf Pine Forest,281,Shortleaf pine-post oak-black oak forest  ,,2372,Tr East Gulf Coastal Plain Interior Shortleaf Pine Forest,Tree,690,Shortleaf Pine-Oak Forest and Woodland,Conifer-Hardwood
2373,Tr Acadian Low-Elevation Spruce-Fir Forest,155,Red spruce-balsam fir forest,,2373,Tr Acadian Low-Elevation Spruce-Fir Forest,Tree,693,Spruce-Fir-Hardwood Forest,Conifer-Hardwood
2374,Tr Acadian-Appalachian Montane Spruce-Fir Forest,155,Red spruce-balsam fir forest,,2374,Tr Acadian-Appalachian Montane Spruce-Fir Forest,Tree,693,Spruce-Fir-Hardwood Forest,Conifer-Hardwood
2375,Tr Eastern Serpentine Woodland,135,Eastern redcedar-oak/bluestem savanna,,2375,Tr Eastern Serpentine Woodland,Tree,670,Glades and Barrens,Conifer-Hardwood
2376,Tr Southern Ridge and Valley/Cumberland Dry Calcareous Forest,123,White oak-northern red oak-black oak-hickory forest,,2376,Tr Southern Ridge and Valley/Cumberland Dry Calcareous Forest,Tree,660,White Oak-Red Oak-Hickory Forest and Woodland,Hardwood
2377,Tr Central Appalachian Rocky Pine Woodland,243,Pitch pine/scrub oak shrubland,,2377,Tr Central Appalachian Rocky Pine Woodland,Tree,664,Chestnut Oak-Virginia Pine Forest and Woodland,Conifer-Hardwood
2377,Tr Central Appalachian Rocky Pine Woodland,243,Pitch pine/scrub oak shrubland,,2377,Tr Central Appalachian Rocky Pine Woodland,Shrub,664,Chestnut Oak-Virginia Pine Forest and Woodland,Conifer-Hardwood
2378,Tr West Gulf Coastal Plain Sandhill Shortleaf Pine Forest and Woodland,281,Shortleaf pine-post oak-black oak forest  ,,2378,Tr West Gulf Coastal Plain Sandhill Shortleaf Pine Forest and Woodland,Tree,689,Shortleaf Pine Woodland,Conifer
2379,Tr Northern Atlantic Coastal Plain Maritime Forest,433,Pine-oak/American beachgrass savanna,,2379,Tr Northern Atlantic Coastal Plain Maritime Forest,Tree,679,Maritime Forest,Hardwood
2380,Tr East Gulf Coastal Plain Maritime Forest,174,Live oak-sabal palm forest,,2380,Tr East Gulf Coastal Plain Maritime Forest,Tree,679,Maritime Forest,Hardwood
2381,Tr Lower Mississippi River Dune Woodland and Forest,434,Post oak-southern red oak/little bluestem-Indiangrass forest,,2381,Tr Lower Mississippi River Dune Woodland and Forest,Tree,662,Post Oak Woodland and Savanna,Hardwood
2382,Tr Southern Atlantic Coastal Plain Maritime Forest,174,Live oak-sabal palm forest,,2382,Tr Southern Atlantic Coastal Plain Maritime Forest,Tree,679,Maritime Forest,Hardwood
2383,Tr Edwards Plateau Limestone Savanna and Woodland,411,Ashe juniper-oak savanna,,2383,Tr Edwards Plateau Limestone Savanna and Woodland,Tree,662,Post Oak Woodland and Savanna,Hardwood
2383,Tr Edwards Plateau Limestone Savanna and Woodland,411,Ashe juniper-oak savanna,,2383,Tr Edwards Plateau Limestone Savanna and Woodland,Shrub,662,Post Oak Woodland and Savanna,Hardwood
2383,Tr Edwards Plateau Limestone Savanna and Woodland,411,Ashe juniper-oak savanna,,2383,Tr Edwards Plateau Limestone Savanna and Woodland,Herb,662,Post Oak Woodland and Savanna,Hardwood
2384,Tr Mississippi Delta Maritime Forest,173,Live oak/sea oats savanna,,2384,Tr Mississippi Delta Maritime Forest,Tree,679,Maritime Forest,Hardwood
2385,Tr Western Great Plains Wooded Draw and Ravine,1,Black cottonwood-Douglas-fir-quaking aspen forest,,2385,Tr Western Great Plains Wooded Draw and Ravine,Tree,635,Western Riparian Woodland and Shrubland,Riparian
2386,Sh Acadian-Appalachian Alpine Tundra,412,Dwarf bilberry-bog blueberry shrubland,,2386,Sh Acadian-Appalachian Alpine Tundra,Shrub,651,Alpine-Subalpine Barrens,Shrubland
2387,Tr Florida Peninsula Inland Scrub,188,Sand pine-oak forest,,2387,Tr Florida Peninsula Inland Scrub,Shrub,691,Southern Scrub Oak,Shrubland
2389,Tr Acadian-Appalachian Subalpine Woodland and Heath-Krummholz,412,Dwarf bilberry-bog blueberry shrubland,,2389,Tr Acadian-Appalachian Subalpine Woodland and Heath-Krummholz,Tree,651,Alpine-Subalpine Barrens,Shrubland
2389,Tr Acadian-Appalachian Subalpine Woodland and Heath-Krummholz,412,Dwarf bilberry-bog blueberry shrubland,,2389,Tr Acadian-Appalachian Subalpine Woodland and Heath-Krummholz,Shrub,651,Alpine-Subalpine Barrens,Shrubland
2390,Sh Tamaulipan Mixed Deciduous Thornscrub,232,Mesquite savanna,,2390,Sh Tamaulipan Mixed Deciduous Thornscrub,Shrub,613,Desert Scrub,Shrubland
2391,Tr Tamaulipan Mesquite Upland Scrub,232,Mesquite savanna,,2391,Tr Tamaulipan Mesquite Upland Scrub,Shrub,613,Desert Scrub,Shrubland
2391,Tr Tamaulipan Mesquite Upland Scrub,232,Mesquite savanna,,2391,Tr Tamaulipan Mesquite Upland Scrub,Tree,624,Mesquite Woodland and Scrub,Shrubland
2392,Sh Tamaulipan Calcareous Thornscrub,232,Mesquite savanna,,2392,Sh Tamaulipan Calcareous Thornscrub,Shrub,613,Desert Scrub,Shrubland
2393,Sh Edwards Plateau Limestone Shrubland,411,Ashe juniper-oak savanna,,2393,Sh Edwards Plateau Limestone Shrubland,Shrub,696,Juniper-Oak,Conifer-Hardwood
2394,Tr North-Central Interior Oak Savanna,154,Bur oak savanna,,2394,Tr North-Central Interior Oak Savanna,Tree,659,Bur Oak Woodland and Savanna,Hardwood
2395,Tr North-Central Oak Barrens,413,Pin oak/bluestem forest,,2395,Tr North-Central Oak Barrens,Tree,663,Black Oak Woodland and Savanna,Hardwood
2395,Tr North-Central Oak Barrens,413,Pin oak/bluestem forest,,2395,Tr North-Central Oak Barrens,Herb,663,Black Oak Woodland and Savanna,Hardwood
2397,Tr Nashville Basin Limestone Glade and Woodland,414,Eastern redcedar/big bluestem savanna,,2397,Tr Nashville Basin Limestone Glade and Woodland,Tree,670,Glades and Barrens,Conifer-Hardwood
2398,Tr Cumberland Sandstone Glade and Barrens,415,Bluestem-forb grassland,,2398,Tr Cumberland Sandstone Glade and Barrens,Tree,670,Glades and Barrens,Conifer-Hardwood
2400,Tr Central Appalachian Alkaline Glade and Woodland,416,Chinkapin oak-eastern redcedar/bluestem savanna,,2400,Tr Central Appalachian Alkaline Glade and Woodland,Tree,670,Glades and Barrens,Conifer-Hardwood
2401,Tr Central Interior Highlands Calcareous Glade and Barrens,416,Chinkapin oak-eastern redcedar/bluestem savanna,,2401,Tr Central Interior Highlands Calcareous Glade and Barrens,Tree,670,Glades and Barrens,Conifer-Hardwood
2401,Tr Central Interior Highlands Calcareous Glade and Barrens,416,Chinkapin oak-eastern redcedar/bluestem savanna,,2401,Tr Central Interior Highlands Calcareous Glade and Barrens,Herb,670,Glades and Barrens,Conifer-Hardwood
2403,Tr West Gulf Coastal Plain Catahoula Barrens,417,Little bluestem-blackseed speargrass grassland,,2403,Tr West Gulf Coastal Plain Catahoula Barrens,Tree,670,Glades and Barrens,Conifer-Hardwood
2405,Tr West Gulf Coastal Plain Nepheline Syenite Glade,417,Little bluestem-blackseed speargrass grassland,,2405,Tr West Gulf Coastal Plain Nepheline Syenite Glade,Tree,670,Glades and Barrens,Conifer-Hardwood
2406,Tr Southern Piedmont Dry Oak Forest,461,Post oak-black oak forest,,2406,Tr Southern Piedmont Dry Oak Forest,Tree,664,Chestnut Oak-Virginia Pine Forest and Woodland,Hardwood
2407,Tr Laurentian Pine Barrens,460,Red-jack pine-northern pin oak forest,,2407,Tr Laurentian Pine Barrens,Tree,676,Jack Pine Forest,Conifer
2407,Tr Laurentian Pine Barrens,460,Red-jack pine-northern pin oak forest,,2407,Tr Laurentian Pine Barrens,Shrub,676,Jack Pine Forest,Shrubland
2408,Tr Alabama Ketona Glade and Woodland,416,Chinkapin oak-eastern redcedar/bluestem savanna,,2408,Tr Alabama Ketona Glade and Woodland,Tree,670,Glades and Barrens,Conifer-Hardwood
2409,Sh Great Lakes Alvar Shrubland,418,White spruce/juniper/little bluestem savanna,,2409,Sh Great Lakes Alvar Shrubland,Shrub,671,Great Lakes Alvar,Shrubland
2410,"Tr Llano Uplift Acidic Forest, Woodland, and Glade",419,Blackjack oak-post oak/bluestem savanna,,2410,"Tr Llano Uplift Acidic Forest, Woodland, and Glade",Tree,670,Glades and Barrens,Conifer-Hardwood
2410,"Tr Llano Uplift Acidic Forest, Woodland, and Glade",419,Blackjack oak-post oak/bluestem savanna,,2410,"Tr Llano Uplift Acidic Forest, Woodland, and Glade",Herb,670,Glades and Barrens,Conifer-Hardwood
2411,He Great Lakes Wet-Mesic Lakeplain Prairie,420,Big bluestem-bluejoint grassland,,2411,He Great Lakes Wet-Mesic Lakeplain Prairie,Herb,675,Inland Marshes and Prairies,Riparian
2412,Sh North-Central Interior Sand and Gravel Tallgrass Prairie,131,Bluestem-Indian grass-switchgrass grassland,,2412,Sh North-Central Interior Sand and Gravel Tallgrass Prairie,Herb,649,Tallgrass Prairie,Grassland
2412,Sh North-Central Interior Sand and Gravel Tallgrass Prairie,131,Bluestem-Indian grass-switchgrass grassland,,2412,Sh North-Central Interior Sand and Gravel Tallgrass Prairie,Shrub,649,Tallgrass Prairie,Shrubland
2413,He Bluegrass Savanna and Woodland,421,Chinkapin oak-bur oak/giant cane forest,,2413,He Bluegrass Savanna and Woodland,Herb,688,Prairies and Barrens,Grassland
2414,Sh Southern Appalachian Grass and Shrub Bald,115,Rhododendron-blueberry-mountain laurel shrubland,,2414,Sh Southern Appalachian Grass and Shrub Bald,Shrub,670,Glades and Barrens,Conifer-Hardwood
2414,Sh Southern Appalachian Grass and Shrub Bald,115,Rhododendron-blueberry-mountain laurel shrubland,,2414,Sh Southern Appalachian Grass and Shrub Bald,Herb,670,Glades and Barrens,Conifer-Hardwood
2415,He Arkansas Valley Prairie and Woodland,422,Post oak-shortleaf pine/bluestem-Indiangrass savanna,,2415,He Arkansas Valley Prairie and Woodland,Herb,688,Prairies and Barrens,Grassland
2416,He Western Highland Rim Prairie and Barrens,423,Oak/bluestem-Indiangrass savanna,,2416,He Western Highland Rim Prairie and Barrens,Herb,688,Prairies and Barrens,Grassland
2417,He Eastern Highland Rim Prairie and Barrens,423,Oak/bluestem-Indiangrass savanna,,2417,He Eastern Highland Rim Prairie and Barrens,Herb,688,Prairies and Barrens,Grassland
2418,He Pennyroyal Karst Plain Prairie and Barrens,423,Oak/bluestem-Indiangrass savanna,,2418,He Pennyroyal Karst Plain Prairie and Barrens,Herb,688,Prairies and Barrens,Grassland
2419,He Southern Ridge and Valley Patch Prairie,423,Oak/bluestem-Indiangrass savanna,,2419,He Southern Ridge and Valley Patch Prairie,Herb,688,Prairies and Barrens,Grassland
2420,He Northern Tallgrass Prairie,131,Bluestem-Indian grass-switchgrass grassland,,2420,He Northern Tallgrass Prairie,Herb,649,Tallgrass Prairie,Grassland
2421,He Central Tallgrass Prairie,131,Bluestem-Indian grass-switchgrass grassland,,2421,He Central Tallgrass Prairie,Herb,649,Tallgrass Prairie,Grassland
2422,He Texas Blackland Tallgrass Prairie,131,Bluestem-Indian grass-switchgrass grassland,,2422,He Texas Blackland Tallgrass Prairie,Herb,649,Tallgrass Prairie,Grassland
2423,He Southeastern Great Plains Tallgrass Prairie,131,Bluestem-Indian grass-switchgrass grassland,,2423,He Southeastern Great Plains Tallgrass Prairie,Herb,649,Tallgrass Prairie,Grassland
2425,Sh Florida Dry Prairie,240,Saw palmetto/three-awned grass shrubland,,2425,Sh Florida Dry Prairie,Herb,688,Prairies and Barrens,Grassland
2425,Sh Florida Dry Prairie,240,Saw palmetto/three-awned grass shrubland,,2425,Sh Florida Dry Prairie,Shrub,688,Prairies and Barrens,Grassland
2426,He Southern Atlantic Coastal Plain Dune and Maritime Grassland,173,Live oak/sea oats savanna,,2426,He Southern Atlantic Coastal Plain Dune and Maritime Grassland,Herb,654,Atlantic Dunes and Grasslands,Grassland
2428,He West Gulf Coastal Plain Northern Calcareous Prairie,131,Bluestem-Indian grass-switchgrass grassland,,2428,He West Gulf Coastal Plain Northern Calcareous Prairie,Herb,688,Prairies and Barrens,Grassland
2429,He West Gulf Coastal Plain Southern Calcareous Prairie,131,Bluestem-Indian grass-switchgrass grassland,,2429,He West Gulf Coastal Plain Southern Calcareous Prairie,Herb,688,Prairies and Barrens,Grassland
2430,Tr Southern Coastal Plain Blackland Prairie and Woodland,135,Eastern redcedar-oak/bluestem savanna,,2430,Tr Southern Coastal Plain Blackland Prairie and Woodland,Herb,688,Prairies and Barrens,Grassland
2430,Tr Southern Coastal Plain Blackland Prairie and Woodland,135,Eastern redcedar-oak/bluestem savanna,,2430,Tr Southern Coastal Plain Blackland Prairie and Woodland,Tree,688,Prairies and Barrens,Grassland
2433,Tr East Gulf Coastal Plain Jackson Prairie and Woodland,423,Oak/bluestem-Indiangrass savanna,,2433,Tr East Gulf Coastal Plain Jackson Prairie and Woodland,Tree,688,Prairies and Barrens,Grassland
2433,Tr East Gulf Coastal Plain Jackson Prairie and Woodland,423,Oak/bluestem-Indiangrass savanna,,2433,Tr East Gulf Coastal Plain Jackson Prairie and Woodland,Herb,688,Prairies and Barrens,Grassland
2434,He Texas-Louisiana Coastal Prairie,280,Bluestem-Gulf cordgrass grassland,,2434,He Texas-Louisiana Coastal Prairie,Herb,675,Inland Marshes and Prairies,Riparian
2435,He East Gulf Coastal Plain Dune and Coastal Grassland,173,Live oak/sea oats savanna,,2435,He East Gulf Coastal Plain Dune and Coastal Grassland,Herb,654,Atlantic Dunes and Grasslands,Grassland
2436,Sh Northern Atlantic Coastal Plain Dune and Swale,433,Pine-oak/American beachgrass savanna,,2436,Sh Northern Atlantic Coastal Plain Dune and Swale,Shrub,654,Atlantic Dunes and Grasslands,Grassland
2436,Sh Northern Atlantic Coastal Plain Dune and Swale,433,Pine-oak/American beachgrass savanna,,2436,Sh Northern Atlantic Coastal Plain Dune and Swale,Herb,654,Atlantic Dunes and Grasslands,Grassland
2437,He Central and Upper Texas Coast Dune and Coastal Grassland,173,Live oak/sea oats savanna,,2437,He Central and Upper Texas Coast Dune and Coastal Grassland,Herb,654,Atlantic Dunes and Grasslands,Grassland
2438,He Tamaulipan Savanna Grassland,232,Mesquite savanna,,2438,He Tamaulipan Savanna Grassland,Herb,617,Grassland,Grassland
2439,He South Texas Lomas,458,Berlandier's fiddlewood-Texas ebony shrubland,,2439,He South Texas Lomas,Herb,617,Grassland,Grassland
2440,He Tamaulipan Clay Grassland,435,Little bluestem-buffalograss grassland,,2440,He Tamaulipan Clay Grassland,Herb,617,Grassland,Grassland
2442,He South Texas Sand Sheet Grassland,436,Shore little bluestem-paspalum grassland,,2442,He South Texas Sand Sheet Grassland,Herb,617,Grassland,Grassland
2443,He South Texas Dune and Coastal Grassland,437,Saltmeadow cordgrass-switchgrass grassland,,2443,He South Texas Dune and Coastal Grassland,Herb,654,Atlantic Dunes and Grasslands,Grassland
2444,Tr Eastern Boreal Floodplain,284,Green ash-American elm-silver maple-cottonwood forest,,2444,Tr Eastern Boreal Floodplain,Tree,676,Jack Pine Forest,Conifer
2444,Tr Eastern Boreal Floodplain,284,Green ash-American elm-silver maple-cottonwood forest,,2444,Tr Eastern Boreal Floodplain,Shrub,676,Jack Pine Forest,Riparian
2444,Tr Eastern Boreal Floodplain,284,Green ash-American elm-silver maple-cottonwood forest,,2444,Tr Eastern Boreal Floodplain,Herb,676,Jack Pine Forest,Riparian
2446,Tr South Florida Pine Flatwoods,291,Longleaf pine-slash pine/saw palmetto forest,,2446,Tr South Florida Pine Flatwoods,Tree,684,Pine Flatwoods,Conifer
2447,Tr South Florida Cypress Dome,438,Pondcypress/pond apple forest,,2447,Tr South Florida Cypress Dome,Tree,657,Cypress,Hardwood
2447,Tr South Florida Cypress Dome,438,Pondcypress/pond apple forest,,2447,Tr South Florida Cypress Dome,Herb,657,Cypress,Hardwood
2448,Tr Southern Piedmont Dry Oak-Pine Forest,281,Shortleaf pine-post oak-black oak forest  ,,2448,Tr Southern Piedmont Dry Oak-Pine Forest,Tree,664,Chestnut Oak-Virginia Pine Forest and Woodland,Hardwood-Conifer
2449,Tr Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,165,Longleaf pine/three-awned grass-pitcher plant savanna - managed with prescribed fire,,2449,Tr Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,Tree,684,Pine Flatwoods,Conifer
2449,Tr Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,165,Longleaf pine/three-awned grass-pitcher plant savanna - managed with prescribed fire,,2449,Tr Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,Shrub,684,Pine Flatwoods,Conifer
2450,Tr Southern Atlantic Coastal Plain Wet Pine Savanna and Flatwoods,191,Longleaf pine-slash pine/gallberry forest,,2450,Tr Southern Atlantic Coastal Plain Wet Pine Savanna and Flatwoods,Tree,684,Pine Flatwoods,Conifer
2451,Tr West Gulf Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,191,Longleaf pine-slash pine/gallberry forest,,2451,Tr West Gulf Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,Tree,684,Pine Flatwoods,Conifer
2452,Tr Atlantic Coastal Plain Peatland Pocosin and Canebrake,170,Pond pine/little gallberry-fetterbush shrubland,,2452,Tr Atlantic Coastal Plain Peatland Pocosin and Canebrake,Shrub,687,Pocosin,Shrubland
2452,Tr Atlantic Coastal Plain Peatland Pocosin and Canebrake,170,Pond pine/little gallberry-fetterbush shrubland,,2452,Tr Atlantic Coastal Plain Peatland Pocosin and Canebrake,Tree,687,Pocosin,Shrubland
2453,Tr Central Florida Pine Flatwoods,191,Longleaf pine-slash pine/gallberry forest,,2453,Tr Central Florida Pine Flatwoods,Tree,684,Pine Flatwoods,Conifer
2454,Tr East Gulf Coastal Plain Near-Coast Pine Flatwoods,191,Longleaf pine-slash pine/gallberry forest,,2454,Tr East Gulf Coastal Plain Near-Coast Pine Flatwoods,Tree,684,Pine Flatwoods,Conifer
2455,Tr East Gulf Coastal Plain Southern Loblolly Flatwoods,276,Oak-pine-magnolia forest,,2455,Tr East Gulf Coastal Plain Southern Loblolly Flatwoods,Tree,684,Pine Flatwoods,Conifer
2456,Tr Northern Atlantic Coastal Plain Pitch Pine Lowland,107,Pitch pine/scrub oak forest,,2456,Tr Northern Atlantic Coastal Plain Pitch Pine Lowland,Tree,686,Pitch Pine Woodlands,Conifer
2457,Tr South-Central Interior/Upper Coastal Plain Wet Flatwoods,283,Willow-laurel-water oak forest,,2457,Tr South-Central Interior/Upper Coastal Plain Wet Flatwoods,Tree,673,Hardwood Flatwoods,Hardwood
2458,Tr West Gulf Coastal Plain Pine Flatwoods,157,Loblolly-shortleaf pine-mixed hardwood forest,,2458,Tr West Gulf Coastal Plain Pine Flatwoods,Tree,684,Pine Flatwoods,Conifer
2459,Tr Atlantic Coastal Plain Clay-Based Carolina Bay Wetland,439,Pondcypress/swamp titi/maidencane savanna,,2459,Tr Atlantic Coastal Plain Clay-Based Carolina Bay Wetland,Tree,657,Cypress,Hardwood
2460,Tr Southern Coastal Plain Nonriverine Cypress Dome,424,Pondcypress/dahoon holly/sedge forest,,2460,Tr Southern Coastal Plain Nonriverine Cypress Dome,Tree,657,Cypress,Hardwood
2460,Tr Southern Coastal Plain Nonriverine Cypress Dome,424,Pondcypress/dahoon holly/sedge forest,,2460,Tr Southern Coastal Plain Nonriverine Cypress Dome,Herb,657,Cypress,Hardwood
2461,Tr Southern Coastal Plain Seepage Swamp and Baygall,425,Swamp tupelo-sweetbay magnolia forest,,2461,Tr Southern Coastal Plain Seepage Swamp and Baygall,Tree,694,Atlantic Swamp Forests,Riparian
2461,Tr Southern Coastal Plain Seepage Swamp and Baygall,425,Swamp tupelo-sweetbay magnolia forest,,2461,Tr Southern Coastal Plain Seepage Swamp and Baygall,Shrub,694,Atlantic Swamp Forests,Riparian
2462,Tr West Gulf Coastal Plain Seepage Swamp and Baygall,425,Swamp tupelo-sweetbay magnolia forest,,2462,Tr West Gulf Coastal Plain Seepage Swamp and Baygall,Tree,694,Atlantic Swamp Forests,Riparian
2463,Tr Central Appalachian Dry Oak Forest,275,Chestnut-white-northern red oak forest,,2463,Tr Central Appalachian Dry Oak Forest,Tree,664,Chestnut Oak-Virginia Pine Forest and Woodland,Conifer-Hardwood
2464,Tr Acadian Near-Boreal Spruce Barrens,462,Spruce-hardwood barrens,,2464,Tr Acadian Near-Boreal Spruce Barrens,Tree,692,Spruce Flats and Barrens,Conifer
2466,Tr Great Lakes Wooded Dune and Swale,147,Jack pine savanna,,2466,Tr Great Lakes Wooded Dune and Swale,Tree,675,Inland Marshes and Prairies,Riparian
2467,Tr Tamaulipan Floodplain Forest,425,Swamp tupelo-sweetbay magnolia forest,,2467,Tr Tamaulipan Floodplain Forest,Tree,666,Eastern Floodplain Forests,Riparian
