EVT_Fuel,EVT_Fuel_N,FCCSID,Fuelbed Name,,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_GP,EVT_GP_N,EVT_PHYS
2039,Tr North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,8,Western hemlock-Douglas-fir-western redcedar/vine maple forest,,2039,Tr North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Tree,615,Douglas-fir-Western Hemlock Forest and Woodland,Conifer
2041,Tr North Pacific Mountain Hemlock Forest,238,Pacific silver fir-mountain hemlock forest,,2041,Tr North Pacific Mountain Hemlock Forest,Tree,627,Mountain Hemlock Forest and Woodland,Conifer
2042,Tr North Pacific Mesic Western Hemlock-Silver Fir Forest,8,Western hemlock-Douglas-fir-western redcedar/vine maple forest,,2042,Tr North Pacific Mesic Western Hemlock-Silver Fir Forest,Tree,642,Western Hemlock-Silver Fir Forest,Conifer
2043,Tr Mediterranean California Mixed Evergreen Forest,37,Ponderosa pine-Jeffrey pine forest,,2043,Tr Mediterranean California Mixed Evergreen Forest,Tree,626,California Mixed Evergreen Forest and Woodland,Conifer
2044,Tr Northern California Mesic Subalpine Woodland,12,Red fir-mountain hemlock-lodgepole pine-western white pine forest,,2044,Tr Northern California Mesic Subalpine Woodland,Tree,627,Mountain Hemlock Forest and Woodland,Conifer
2045,Tr Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,52,Douglas-fir-Pacific ponderosa pine/oceanspray forest,,2045,Tr Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Tree,625,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,Conifer
2046,Tr Northern Rocky Mountain Subalpine Woodland and Parkland,61,Whitebark pine/subalpine fir forest,,2046,Tr Northern Rocky Mountain Subalpine Woodland and Parkland,Tree,640,Subalpine Woodland and Parkland,Conifer
2047,Tr Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,2,Western hemlock-western redcedar-Douglas-fir forest,,2047,Tr Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Tree,643,Douglas-fir-Grand Fir-White Fir Forest and Woodland,Conifer
2048,Tr Northwestern Great Plains Highland White Spruce Woodland,265,Balsam fir-white spruce-mixed hardwood forest,,2048,Tr Northwestern Great Plains Highland White Spruce Woodland,Tree,639,Spruce-Fir Forest and Woodland,Conifer
2049,Tr Rocky Mountain Foothill Limber Pine-Juniper Woodland,286,Limber pine-ponderosa pine forest,,2049,Tr Rocky Mountain Foothill Limber Pine-Juniper Woodland,Tree,621,Limber Pine Woodland,Conifer
2050,Tr Rocky Mountain Lodgepole Pine Forest,22,Mature lodgepole pine forest,,2050,Tr Rocky Mountain Lodgepole Pine Forest,Tree,622,Lodgepole Pine Forest and Woodland,Conifer
2051,Tr Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,273,Engelmann spruce-Douglas-fir-white fir-ponderosa pine forest,,2051,Tr Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Tree,625,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,Conifer
2052,Tr Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,273,Engelmann spruce-Douglas-fir-white fir-ponderosa pine forest,,2052,Tr Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Tree,643,Douglas-fir-Grand Fir-White Fir Forest and Woodland,Conifer
2053,Tr Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,53,Pacific ponderosa pine forest,,2053,Tr Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,Tree,631,"Ponderosa Pine Forest, Woodland and Savanna",Conifer
2054,Tr Southern Rocky Mountain Ponderosa Pine Woodland,211,Ponderosa pine forest - high density,,2054,Tr Southern Rocky Mountain Ponderosa Pine Woodland,Tree,631,"Ponderosa Pine Forest, Woodland and Savanna",Conifer
2055,Tr Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,59,Subalpine fir-Engelmann spruce -Douglas-fir-lodgepole pine forest,,2055,Tr Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Tree,639,Spruce-Fir Forest and Woodland,Conifer
2056,Tr Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,59,Subalpine fir-Engelmann spruce -Douglas-fir-lodgepole pine forest,,2056,Tr Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Tree,639,Spruce-Fir Forest and Woodland,Conifer
2057,Tr Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,314,Limber-bristlecone pine forest,,2057,Tr Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,Tree,621,Limber Pine Woodland,Conifer
2058,Tr Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,12,Red fir-mountain hemlock-lodgepole pine-western white pine forest,,2058,Tr Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,Tree,622,Lodgepole Pine Forest and Woodland,Conifer
2059,Tr Southern Rocky Mountain Pinyon-Juniper Woodland,210,Pinyon-Utah juniper forest,,2059,Tr Southern Rocky Mountain Pinyon-Juniper Woodland,Tree,630,Pinyon-Juniper Woodland,Conifer
2060,Tr East Cascades Ponderosa Pine Forest and Woodland,53,Pacific ponderosa pine forest,,2060,Tr East Cascades Ponderosa Pine Forest and Woodland,Tree,610,Conifer-Oak Forest and Woodland,Conifer
2061,Tr Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,224,Quaking aspen forest,,2061,Tr Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Tree,603,Aspen-Mixed Conifer Forest and Woodland,Conifer-Hardwood
2062,Tr Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,313,Mountain mahogany shrubland,,2062,Tr Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Tree,628,Mountain Mahogany Woodland and Shrubland,Conifer
2063,Tr North Pacific Broadleaf Landslide Forest and Shrubland,319,Pacific silver fir-Sitka alder forest,,2063,Tr North Pacific Broadleaf Landslide Forest and Shrubland,Tree,632,Red Alder Forest and Woodland,Hardwood
