"area","fm_duff","fm_1000hr","can_con_pct","shrub_black_pct","pile_black_pct","fuelbeds","units","ecoregion","fm_litter","season"
100,20,5,50,80,90,59196,"tons","western",4,"summer"
100,20,5,50,80,90,59197,"tons","western",4,"summer"
100,20,5,50,80,90,59198,"tons","western",4,"summer"
100,20,5,50,80,90,59199,"tons","western",4,"summer"
100,20,5,50,80,90,59200,"tons","western",4,"summer"
100,20,5,50,80,90,59201,"tons","western",4,"summer"
100,20,5,50,80,90,59202,"tons","western",4,"summer"
100,20,5,50,80,90,59203,"tons","western",4,"summer"
100,20,5,50,80,90,59204,"tons","western",4,"summer"
100,20,5,50,80,90,59205,"tons","western",4,"summer"
100,20,5,50,80,90,59206,"tons","western",4,"summer"
100,20,5,50,80,90,59207,"tons","western",4,"summer"
100,20,5,50,80,90,59208,"tons","western",4,"summer"
100,20,5,50,80,90,59209,"tons","western",4,"summer"
100,20,5,50,80,90,59210,"tons","western",4,"summer"
100,20,5,50,80,90,59211,"tons","western",4,"summer"
100,20,5,50,80,90,59212,"tons","western",4,"summer"
100,20,5,50,80,90,59213,"tons","western",4,"summer"
100,20,5,50,80,90,59214,"tons","western",4,"summer"
100,20,5,50,80,90,59215,"tons","western",4,"summer"
100,20,5,50,80,90,59216,"tons","western",4,"summer"
100,20,5,50,80,90,59217,"tons","western",4,"summer"
100,20,5,50,80,90,59218,"tons","western",4,"summer"
100,20,5,50,80,90,59219,"tons","western",4,"summer"
100,20,5,50,80,90,59220,"tons","western",4,"summer"
100,20,5,50,80,90,59221,"tons","western",4,"summer"
100,20,5,50,80,90,59222,"tons","western",4,"summer"
100,20,5,50,80,90,59223,"tons","western",4,"summer"
100,20,5,50,80,90,59224,"tons","western",4,"summer"
100,20,5,50,80,90,59225,"tons","western",4,"summer"
100,20,5,50,80,90,59226,"tons","western",4,"summer"
100,20,5,50,80,90,59227,"tons","western",4,"summer"
100,20,5,50,80,90,59228,"tons","western",4,"summer"
100,20,5,50,80,90,59229,"tons","western",4,"summer"
100,20,5,50,80,90,59230,"tons","western",4,"summer"
100,20,5,50,80,90,59231,"tons","western",4,"summer"
100,20,5,50,80,90,59232,"tons","western",4,"summer"
100,20,5,50,80,90,59233,"tons","western",4,"summer"
100,20,5,50,80,90,59234,"tons","western",4,"summer"
100,20,5,50,80,90,59235,"tons","western",4,"summer"
100,20,5,50,80,90,59236,"tons","western",4,"summer"
100,20,5,50,80,90,59237,"tons","western",4,"summer"
100,20,5,50,80,90,59238,"tons","western",4,"summer"
100,20,5,50,80,90,59239,"tons","western",4,"summer"
100,20,5,50,80,90,59240,"tons","western",4,"summer"
100,20,5,50,80,90,59241,"tons","western",4,"summer"
100,20,5,50,80,90,59242,"tons","western",4,"summer"
100,20,5,50,80,90,59243,"tons","western",4,"summer"
100,20,5,50,80,90,59244,"tons","western",4,"summer"
100,20,5,50,80,90,59245,"tons","western",4,"summer"
100,20,5,50,80,90,59246,"tons","western",4,"summer"
100,20,5,50,80,90,59247,"tons","western",4,"summer"
100,20,5,50,80,90,59248,"tons","western",4,"summer"
100,20,5,50,80,90,59249,"tons","western",4,"summer"
100,20,5,50,80,90,59250,"tons","western",4,"summer"
100,20,5,50,80,90,59251,"tons","western",4,"summer"
100,20,5,50,80,90,59252,"tons","western",4,"summer"
100,20,5,50,80,90,59253,"tons","western",4,"summer"
100,20,5,50,80,90,59254,"tons","western",4,"summer"
100,20,5,50,80,90,59255,"tons","western",4,"summer"
100,20,5,50,80,90,59256,"tons","western",4,"summer"
100,20,5,50,80,90,59257,"tons","western",4,"summer"
100,20,5,50,80,90,59258,"tons","western",4,"summer"
100,20,5,50,80,90,59259,"tons","western",4,"summer"
100,20,5,50,80,90,59260,"tons","western",4,"summer"
100,20,5,50,80,90,59261,"tons","western",4,"summer"
100,20,5,50,80,90,59262,"tons","western",4,"summer"
100,20,5,50,80,90,59263,"tons","western",4,"summer"
100,20,5,50,80,90,59264,"tons","western",4,"summer"
100,20,5,50,80,90,59265,"tons","western",4,"summer"
100,20,5,50,80,90,59266,"tons","western",4,"summer"
100,20,5,50,80,90,59267,"tons","western",4,"summer"
100,20,5,50,80,90,59268,"tons","western",4,"summer"
100,20,5,50,80,90,59269,"tons","western",4,"summer"
100,20,5,50,80,90,59270,"tons","western",4,"summer"
100,20,5,50,80,90,59271,"tons","western",4,"summer"
100,20,5,50,80,90,59272,"tons","western",4,"summer"
100,20,5,50,80,90,59273,"tons","western",4,"summer"
100,20,5,50,80,90,59274,"tons","western",4,"summer"
100,20,5,50,80,90,59275,"tons","western",4,"summer"
100,20,5,50,80,90,59276,"tons","western",4,"summer"
100,20,5,50,80,90,59277,"tons","western",4,"summer"
100,20,5,50,80,90,59278,"tons","western",4,"summer"
100,20,5,50,80,90,59279,"tons","western",4,"summer"
100,20,5,50,80,90,59280,"tons","western",4,"summer"
100,20,5,50,80,90,59281,"tons","western",4,"summer"
100,20,5,50,80,90,59282,"tons","western",4,"summer"
100,20,5,50,80,90,59283,"tons","western",4,"summer"
100,20,5,50,80,90,59284,"tons","western",4,"summer"
100,20,5,50,80,90,59285,"tons","western",4,"summer"
100,20,5,50,80,90,59286,"tons","western",4,"summer"
100,20,5,50,80,90,59287,"tons","western",4,"summer"
100,20,5,50,80,90,59288,"tons","western",4,"summer"
100,20,5,50,80,90,59289,"tons","western",4,"summer"
100,20,5,50,80,90,59290,"tons","western",4,"summer"
100,20,5,50,80,90,59291,"tons","western",4,"summer"
100,20,5,50,80,90,59292,"tons","western",4,"summer"
100,20,5,50,80,90,59293,"tons","western",4,"summer"
100,20,5,50,80,90,59294,"tons","western",4,"summer"
100,20,5,50,80,90,59295,"tons","western",4,"summer"
100,20,5,50,80,90,59296,"tons","western",4,"summer"
100,20,5,50,80,90,59297,"tons","western",4,"summer"
100,20,5,50,80,90,59298,"tons","western",4,"summer"
100,20,5,50,80,90,59299,"tons","western",4,"summer"
100,20,5,50,80,90,59300,"tons","western",4,"summer"
100,20,5,50,80,90,59301,"tons","western",4,"summer"
100,20,5,50,80,90,59302,"tons","western",4,"summer"
100,20,5,50,80,90,59303,"tons","western",4,"summer"
100,20,5,50,80,90,59304,"tons","western",4,"summer"
100,20,5,50,80,90,59305,"tons","western",4,"summer"
100,20,5,50,80,90,59306,"tons","western",4,"summer"
100,20,5,50,80,90,59307,"tons","western",4,"summer"
100,20,5,50,80,90,59308,"tons","western",4,"summer"
100,20,5,50,80,90,59309,"tons","western",4,"summer"
100,20,5,50,80,90,59310,"tons","western",4,"summer"
100,20,5,50,80,90,59311,"tons","western",4,"summer"
100,20,5,50,80,90,59312,"tons","western",4,"summer"
100,20,5,50,80,90,59313,"tons","western",4,"summer"
100,20,5,50,80,90,59314,"tons","western",4,"summer"
100,20,5,50,80,90,59315,"tons","western",4,"summer"
100,20,5,50,80,90,59316,"tons","western",4,"summer"
100,20,5,50,80,90,59317,"tons","western",4,"summer"
100,20,5,50,80,90,59318,"tons","western",4,"summer"
100,20,5,50,80,90,59319,"tons","western",4,"summer"
100,20,5,50,80,90,59320,"tons","western",4,"summer"
100,20,5,50,80,90,59321,"tons","western",4,"summer"
100,20,5,50,80,90,59322,"tons","western",4,"summer"
100,20,5,50,80,90,59323,"tons","western",4,"summer"
100,20,5,50,80,90,59324,"tons","western",4,"summer"
100,20,5,50,80,90,59325,"tons","western",4,"summer"
100,20,5,50,80,90,59326,"tons","western",4,"summer"
100,20,5,50,80,90,59327,"tons","western",4,"summer"
100,20,5,50,80,90,59328,"tons","western",4,"summer"
100,20,5,50,80,90,59329,"tons","western",4,"summer"
100,20,5,50,80,90,59330,"tons","western",4,"summer"
100,20,5,50,80,90,59331,"tons","western",4,"summer"
100,20,5,50,80,90,59332,"tons","western",4,"summer"
100,20,5,50,80,90,59333,"tons","western",4,"summer"
100,20,5,50,80,90,59334,"tons","western",4,"summer"
100,20,5,50,80,90,59335,"tons","western",4,"summer"
100,20,5,50,80,90,59336,"tons","western",4,"summer"
100,20,5,50,80,90,59337,"tons","western",4,"summer"
100,20,5,50,80,90,59338,"tons","western",4,"summer"
100,20,5,50,80,90,59339,"tons","western",4,"summer"
100,20,5,50,80,90,59340,"tons","western",4,"summer"
100,20,5,50,80,90,59341,"tons","western",4,"summer"
100,20,5,50,80,90,59342,"tons","western",4,"summer"
100,20,5,50,80,90,59343,"tons","western",4,"summer"
100,20,5,50,80,90,59344,"tons","western",4,"summer"
100,20,5,50,80,90,59345,"tons","western",4,"summer"
100,20,5,50,80,90,59346,"tons","western",4,"summer"
100,20,5,50,80,90,59347,"tons","western",4,"summer"
100,20,5,50,80,90,59348,"tons","western",4,"summer"
100,20,5,50,80,90,59349,"tons","western",4,"summer"
100,20,5,50,80,90,59350,"tons","western",4,"summer"
100,20,5,50,80,90,59351,"tons","western",4,"summer"
100,20,5,50,80,90,59352,"tons","western",4,"summer"
100,20,5,50,80,90,59353,"tons","western",4,"summer"
100,20,5,50,80,90,59354,"tons","western",4,"summer"
100,20,5,50,80,90,59355,"tons","western",4,"summer"
100,20,5,50,80,90,59356,"tons","western",4,"summer"
100,20,5,50,80,90,59357,"tons","western",4,"summer"
100,20,5,50,80,90,59358,"tons","western",4,"summer"
100,20,5,50,80,90,59359,"tons","western",4,"summer"
100,20,5,50,80,90,59360,"tons","western",4,"summer"
100,20,5,50,80,90,59361,"tons","western",4,"summer"
100,20,5,50,80,90,59362,"tons","western",4,"summer"
100,20,5,50,80,90,59363,"tons","western",4,"summer"
100,20,5,50,80,90,59364,"tons","western",4,"summer"
100,20,5,50,80,90,59365,"tons","western",4,"summer"
100,20,5,50,80,90,59366,"tons","western",4,"summer"
100,20,5,50,80,90,59367,"tons","western",4,"summer"
100,20,5,50,80,90,59368,"tons","western",4,"summer"
100,20,5,50,80,90,59369,"tons","western",4,"summer"
100,20,5,50,80,90,59370,"tons","western",4,"summer"
100,20,5,50,80,90,59371,"tons","western",4,"summer"
100,20,5,50,80,90,59372,"tons","western",4,"summer"
100,20,5,50,80,90,59373,"tons","western",4,"summer"
100,20,5,50,80,90,59374,"tons","western",4,"summer"
100,20,5,50,80,90,59375,"tons","western",4,"summer"
100,20,5,50,80,90,59376,"tons","western",4,"summer"
100,20,5,50,80,90,59377,"tons","western",4,"summer"
100,20,5,50,80,90,59378,"tons","western",4,"summer"
100,20,5,50,80,90,59379,"tons","western",4,"summer"
100,20,5,50,80,90,59380,"tons","western",4,"summer"
100,20,5,50,80,90,59381,"tons","western",4,"summer"
100,20,5,50,80,90,59382,"tons","western",4,"summer"
100,20,5,50,80,90,59383,"tons","western",4,"summer"
100,20,5,50,80,90,59384,"tons","western",4,"summer"
100,20,5,50,80,90,59385,"tons","western",4,"summer"
100,20,5,50,80,90,59386,"tons","western",4,"summer"
100,20,5,50,80,90,59387,"tons","western",4,"summer"
100,20,5,50,80,90,59388,"tons","western",4,"summer"
100,20,5,50,80,90,59389,"tons","western",4,"summer"
100,20,5,50,80,90,59390,"tons","western",4,"summer"
100,20,5,50,80,90,59391,"tons","western",4,"summer"
100,20,5,50,80,90,59392,"tons","western",4,"summer"
100,20,5,50,80,90,59393,"tons","western",4,"summer"
100,20,5,50,80,90,59394,"tons","western",4,"summer"
100,20,5,50,80,90,59395,"tons","western",4,"summer"
100,20,5,50,80,90,59396,"tons","western",4,"summer"
100,20,5,50,80,90,59397,"tons","western",4,"summer"
100,20,5,50,80,90,59398,"tons","western",4,"summer"
100,20,5,50,80,90,59399,"tons","western",4,"summer"
100,20,5,50,80,90,59400,"tons","western",4,"summer"
100,20,5,50,80,90,59401,"tons","western",4,"summer"
100,20,5,50,80,90,59402,"tons","western",4,"summer"
100,20,5,50,80,90,59403,"tons","western",4,"summer"
100,20,5,50,80,90,59404,"tons","western",4,"summer"
100,20,5,50,80,90,59405,"tons","western",4,"summer"
100,20,5,50,80,90,59406,"tons","western",4,"summer"
100,20,5,50,80,90,59407,"tons","western",4,"summer"
100,20,5,50,80,90,59408,"tons","western",4,"summer"
100,20,5,50,80,90,59409,"tons","western",4,"summer"
100,20,5,50,80,90,59410,"tons","western",4,"summer"
100,20,5,50,80,90,59411,"tons","western",4,"summer"
100,20,5,50,80,90,59412,"tons","western",4,"summer"
100,20,5,50,80,90,59413,"tons","western",4,"summer"
100,20,5,50,80,90,59414,"tons","western",4,"summer"
100,20,5,50,80,90,59415,"tons","western",4,"summer"
100,20,5,50,80,90,59416,"tons","western",4,"summer"
100,20,5,50,80,90,59417,"tons","western",4,"summer"
100,20,5,50,80,90,59418,"tons","western",4,"summer"
100,20,5,50,80,90,59419,"tons","western",4,"summer"
100,20,5,50,80,90,59420,"tons","western",4,"summer"
100,20,5,50,80,90,59421,"tons","western",4,"summer"
100,20,5,50,80,90,59422,"tons","western",4,"summer"
100,20,5,50,80,90,59423,"tons","western",4,"summer"
100,20,5,50,80,90,59424,"tons","western",4,"summer"
100,20,5,50,80,90,59425,"tons","western",4,"summer"
100,20,5,50,80,90,59426,"tons","western",4,"summer"
100,20,5,50,80,90,59427,"tons","western",4,"summer"
100,20,5,50,80,90,59428,"tons","western",4,"summer"
100,20,5,50,80,90,59429,"tons","western",4,"summer"
100,20,5,50,80,90,59430,"tons","western",4,"summer"
100,20,5,50,80,90,59431,"tons","western",4,"summer"
100,20,5,50,80,90,59432,"tons","western",4,"summer"
100,20,5,50,80,90,59433,"tons","western",4,"summer"
100,20,5,50,80,90,59434,"tons","western",4,"summer"
100,20,5,50,80,90,59435,"tons","western",4,"summer"
100,20,5,50,80,90,59436,"tons","western",4,"summer"
100,20,5,50,80,90,59437,"tons","western",4,"summer"
100,20,5,50,80,90,59438,"tons","western",4,"summer"
100,20,5,50,80,90,59439,"tons","western",4,"summer"
100,20,5,50,80,90,59440,"tons","western",4,"summer"
100,20,5,50,80,90,59441,"tons","western",4,"summer"
100,20,5,50,80,90,59442,"tons","western",4,"summer"
100,20,5,50,80,90,59443,"tons","western",4,"summer"
100,20,5,50,80,90,59444,"tons","western",4,"summer"
100,20,5,50,80,90,59445,"tons","western",4,"summer"
100,20,5,50,80,90,59446,"tons","western",4,"summer"
100,20,5,50,80,90,59447,"tons","western",4,"summer"
100,20,5,50,80,90,59448,"tons","western",4,"summer"
100,20,5,50,80,90,59449,"tons","western",4,"summer"
100,20,5,50,80,90,59450,"tons","western",4,"summer"
100,20,5,50,80,90,59451,"tons","western",4,"summer"
100,20,5,50,80,90,59452,"tons","western",4,"summer"
100,20,5,50,80,90,59453,"tons","western",4,"summer"
100,20,5,50,80,90,59454,"tons","western",4,"summer"
100,20,5,50,80,90,59455,"tons","western",4,"summer"
100,20,5,50,80,90,59456,"tons","western",4,"summer"
100,20,5,50,80,90,59457,"tons","western",4,"summer"
100,20,5,50,80,90,59458,"tons","western",4,"summer"
100,20,5,50,80,90,59459,"tons","western",4,"summer"
100,20,5,50,80,90,59460,"tons","western",4,"summer"
100,20,5,50,80,90,59461,"tons","western",4,"summer"
100,20,5,50,80,90,59462,"tons","western",4,"summer"
100,20,5,50,80,90,59463,"tons","western",4,"summer"
100,20,5,50,80,90,59464,"tons","western",4,"summer"
100,20,5,50,80,90,59465,"tons","western",4,"summer"
100,20,5,50,80,90,59466,"tons","western",4,"summer"
100,20,5,50,80,90,59467,"tons","western",4,"summer"
100,20,5,50,80,90,59468,"tons","western",4,"summer"
100,20,5,50,80,90,59469,"tons","western",4,"summer"
100,20,5,50,80,90,59470,"tons","western",4,"summer"
100,20,5,50,80,90,59471,"tons","western",4,"summer"
100,20,5,50,80,90,59472,"tons","western",4,"summer"
100,20,5,50,80,90,59473,"tons","western",4,"summer"
100,20,5,50,80,90,59474,"tons","western",4,"summer"
100,20,5,50,80,90,59475,"tons","western",4,"summer"
100,20,5,50,80,90,59476,"tons","western",4,"summer"
100,20,5,50,80,90,59477,"tons","western",4,"summer"
100,20,5,50,80,90,59478,"tons","western",4,"summer"
100,20,5,50,80,90,59479,"tons","western",4,"summer"
100,20,5,50,80,90,59480,"tons","western",4,"summer"
100,20,5,50,80,90,59481,"tons","western",4,"summer"
100,20,5,50,80,90,59482,"tons","western",4,"summer"
100,20,5,50,80,90,59483,"tons","western",4,"summer"
100,20,5,50,80,90,59484,"tons","western",4,"summer"
100,20,5,50,80,90,59485,"tons","western",4,"summer"
100,20,5,50,80,90,59486,"tons","western",4,"summer"
100,20,5,50,80,90,59487,"tons","western",4,"summer"
100,20,5,50,80,90,59488,"tons","western",4,"summer"
100,20,5,50,80,90,59489,"tons","western",4,"summer"
100,20,5,50,80,90,59490,"tons","western",4,"summer"
100,20,5,50,80,90,59491,"tons","western",4,"summer"
100,20,5,50,80,90,59492,"tons","western",4,"summer"
100,20,5,50,80,90,59493,"tons","western",4,"summer"
